"P0_1","P0_2","P0_3","P0_4_1","P0_4_2","P1_1","P1_2","FOLIO","VIV_SEL","ID_ENT","FAC_VIV"
3,4,1,1,1,5,1,13692,3,3,1020
2,4,1,1,1,3,1,13693,17,10,1405
2,4,1,1,1,4,1,13694,1,19,3621
2,4,2,1,1,3,1,13695,1,1,1371
2,3,1,1,1,3,1,13696,3,8,3117
2,3,1,2,2,1,1,13697,19,17,952
2,4,1,2,1,1,1,13698,1,22,2035
1,5,0,2,2,5,1,13699,18,30,4785
3,6,1,2,2,7,1,13700,15,13,1739
2,4,1,1,1,3,1,13701,5,1,392
2,6,1,2,1,3,1,13702,2,21,5722
2,3,1,2,2,6,1,13703,12,17,995
2,3,1,2,2,8,1,13704,17,27,2357
3,5,1,1,1,4,1,13705,3,1,882
2,3,1,1,2,2,1,13706,2,28,1904
1,2,1,2,2,3,1,13707,12,29,500
5,7,2,2,2,6,1,13708,16,29,729
1,2,0,2,2,1,1,13709,4,9,1454
2,3,1,2,1,2,1,13710,3,11,5935
2,4,2,1,1,2,1,13711,1,29,1060
1,1,1,2,1,2,1,13712,1,3,561
1,2,1,2,1,1,1,13713,4,15,9893
2,3,1,2,1,2,1,13714,1,23,1657
1,2,1,1,2,4,1,13715,4,13,1288
4,6,2,1,1,5,1,13716,1,24,1429
1,1,0,2,1,4,1,13717,16,12,2843
3,4,1,1,1,3,1,13718,16,28,1343
1,4,1,1,1,2,1,13719,5,32,1959
2,5,1,1,1,2,1,13720,12,15,5909
2,3,0,2,2,3,1,13721,12,7,3338
2,3,1,2,2,4,1,13722,2,10,1138
2,3,1,1,1,4,1,13723,3,14,3387
3,5,1,2,2,3,1,13724,2,9,4117
4,5,1,1,1,7,1,13725,2,14,9014
2,4,1,1,1,5,1,13726,1,28,1611
2,5,1,1,1,3,1,13727,2,18,1027
3,5,2,1,1,4,1,13728,1,15,13530
1,2,1,2,2,2,1,13729,5,19,3306
2,3,0,2,1,8,1,13730,20,7,3330
2,4,1,2,1,5,1,13731,4,4,474
1,3,1,1,1,2,1,13732,2,15,10409
2,3,0,2,2,2,1,13733,18,20,3286
1,1,1,1,1,1,1,13734,4,29,908
2,3,1,1,1,2,1,13735,20,28,2250
3,4,2,1,1,6,1,13736,5,2,2857
3,4,1,2,1,5,1,13737,5,5,1842
2,3,1,2,1,3,1,13738,2,10,1277
3,6,2,2,1,1,1,13739,4,15,11960
3,6,2,1,1,5,1,13740,8,19,1919
1,2,1,2,1,5,1,13741,3,27,2660
2,4,1,2,2,5,1,13742,9,13,2376
3,5,1,1,1,4,1,13743,5,1,1069
3,4,2,1,1,4,1,13744,5,3,618
2,4,1,2,2,2,1,13745,5,8,3028
3,7,1,1,1,3,1,13746,5,9,3500
1,4,1,1,1,2,1,13747,17,25,2209
4,6,3,1,1,4,1,13748,5,10,1294
1,1,1,2,2,1,1,13749,1,21,4593
2,4,0,2,1,3,1,13750,2,11,4097
2,4,2,1,1,3,1,13751,3,21,1361
1,2,1,2,2,4,1,13752,2,7,3330
2,3,1,2,2,5,1,13753,3,11,5124
2,4,1,2,1,3,1,13754,15,20,3430
3,6,1,1,1,6,1,13755,15,25,2705
2,4,1,2,1,2,1,13756,17,19,2584
2,3,1,2,2,2,1,13757,1,32,1515
3,3,1,2,1,5,1,13758,5,4,978
4,5,2,1,1,3,1,13759,19,24,1121
2,3,1,1,1,1,1,13760,1,6,826
1,2,1,2,1,4,1,13761,3,5,1661
2,5,1,1,1,5,1,13762,2,5,1452
1,2,1,2,1,2,1,13763,4,9,1454
1,2,2,1,1,1,1,13764,3,26,2023
2,3,1,2,2,3,1,13765,5,6,576
4,4,1,1,1,4,1,13766,4,8,2768
3,5,0,2,1,5,1,13767,14,21,5069
2,3,1,2,1,4,1,13768,2,2,3330
4,6,1,1,1,4,1,13769,15,13,2540
2,4,1,2,1,3,1,13770,5,31,2111
2,7,1,2,1,1,1,13771,3,7,4020
2,4,1,2,1,3,1,13772,3,25,2356
1,2,0,2,1,2,1,13773,15,4,1029
2,3,1,1,1,4,1,13774,20,3,496
3,5,3,1,1,4,1,13775,4,9,4276
1,2,1,2,1,2,1,13776,1,2,3206
1,3,1,2,1,1,1,13777,3,19,1023
1,2,0,2,1,5,1,13778,14,21,3844
2,4,1,2,1,7,1,13779,4,24,1169
4,5,0,2,1,6,1,13780,1,24,1337
2,4,2,2,2,3,1,13781,19,7,4023
4,8,3,2,2,3,1,13782,5,12,2813
2,3,2,2,1,5,2,13783,4,4,730
4,7,2,1,1,5,1,13784,1,26,1977
3,5,1,2,1,3,1,13785,5,10,1306
2,3,2,1,1,3,1,13786,2,4,878
1,3,1,2,2,1,1,13787,3,31,1910
2,3,0,2,1,5,1,13788,4,7,2286
3,5,1,2,1,1,1,13789,4,2,3158
2,4,2,1,1,3,1,13790,5,1,1395
1,3,1,1,1,1,1,13791,1,23,2057
1,4,1,1,1,2,1,13792,3,12,4317
3,5,1,1,1,4,1,13793,1,9,3499
2,3,1,1,1,3,1,13794,1,23,1573
2,4,0,2,2,2,1,13795,3,30,31759
2,4,1,1,1,5,1,13796,4,24,1027
2,2,2,1,2,3,1,13797,4,20,3011
2,5,1,1,2,4,1,13798,1,28,1547
2,7,1,1,1,4,1,13799,5,16,4504
3,5,1,2,1,5,1,13800,2,29,1177
2,3,1,1,1,4,1,13801,2,28,1732
3,6,1,2,1,2,1,13802,1,9,3398
2,4,1,2,2,8,1,13803,11,12,3037
2,4,1,2,2,3,1,13804,3,4,797
1,3,1,2,1,3,1,13805,1,12,3312
3,5,1,1,1,4,1,13806,3,8,2876
2,3,2,2,2,4,1,13807,2,27,2554
2,9,1,1,1,3,1,13808,6,26,2836
2,4,1,2,1,4,2,13809,9,31,1839
2,4,2,1,1,2,1,13810,9,27,2396
2,4,1,1,1,3,1,13811,18,6,576
2,3,2,2,1,2,1,13812,4,17,1500
1,3,1,2,2,1,1,13813,8,27,2396
2,4,0,1,1,3,1,13814,8,11,4770
3,4,1,1,1,5,1,13815,2,18,1297
1,4,1,1,2,2,1,13816,1,20,3726
3,4,1,1,1,4,1,13817,1,9,1000
2,3,1,2,2,4,1,13818,10,17,995
2,4,3,1,1,5,2,13819,2,23,1316
1,3,1,1,1,1,1,13820,3,2,2939
1,2,1,1,1,1,1,13821,5,4,354
2,4,2,1,1,5,1,13822,4,10,1291
1,3,1,1,1,3,1,13823,2,23,1129
2,5,2,1,1,2,1,13824,3,26,1977
1,1,0,1,2,1,1,13825,4,18,1201
3,4,1,1,1,4,1,13826,5,29,1103
2,3,0,2,1,2,1,13827,1,9,3913
2,4,2,1,1,2,1,13828,4,9,2439
2,4,1,2,1,3,1,13829,3,25,2587
2,3,1,2,1,1,1,13830,5,2,3018
3,5,2,2,1,2,1,13831,4,25,4596
1,6,1,1,2,1,1,13832,4,12,4317
2,3,1,2,2,9,1,13833,10,26,1939
2,4,1,1,1,5,1,13834,3,2,2729
2,3,0,2,2,5,1,13835,1,9,672
3,4,1,1,1,4,1,13836,1,19,3198
2,4,0,1,2,3,1,13837,14,18,1115
4,5,1,2,1,5,1,13838,3,9,3638
2,3,1,2,2,6,1,13839,3,15,11415
1,2,1,1,1,4,1,13840,5,3,555
3,5,1,1,2,5,1,13841,19,13,2578
3,4,1,1,1,7,1,13842,15,1,848
3,4,2,2,1,5,1,13843,5,3,659
2,4,1,1,1,2,1,13844,5,8,3117
1,3,1,2,1,1,1,13845,5,9,3459
3,5,2,1,1,4,1,13846,18,24,1121
2,3,1,2,2,3,1,13847,8,19,2996
2,3,2,1,1,5,1,13848,2,19,2978
1,2,1,2,2,4,1,13849,9,31,2522
1,4,1,2,1,1,1,13850,9,27,1502
2,3,1,1,1,4,1,13851,2,25,2850
1,2,1,1,2,4,1,13852,9,13,2985
1,2,2,2,1,2,1,13853,4,4,833
3,5,1,1,1,4,1,13854,5,1,1189
1,2,1,1,1,2,1,13855,17,19,2996
3,6,2,1,1,4,1,13856,5,9,3806
3,5,1,1,1,3,1,13857,15,28,2250
1,3,1,2,2,1,1,13858,5,19,3224
2,3,2,1,1,2,1,13859,19,18,1651
1,2,1,2,2,4,1,13860,7,7,3330
2,4,1,2,1,8,2,13861,4,16,3018
3,5,1,2,2,4,1,13862,4,28,1388
2,4,1,2,1,5,1,13863,4,27,1676
1,3,1,2,1,4,1,13864,5,7,4031
2,3,1,1,1,4,1,13865,1,1,1118
1,2,0,2,1,8,1,13866,2,2,3501
3,3,2,1,1,4,1,13867,5,14,6613
3,5,2,1,1,3,1,13868,3,19,3302
2,3,1,2,1,5,1,13869,1,23,1406
2,4,1,2,1,4,1,13870,5,19,3334
3,6,2,1,1,4,1,13871,5,5,1479
2,4,1,2,1,4,1,13872,2,1,1296
2,4,1,1,1,4,1,13873,3,8,2447
2,3,1,1,1,4,1,13874,2,25,2513
1,2,0,2,1,7,1,13875,3,28,1754
2,4,1,2,1,7,1,13876,5,27,1493
4,5,1,1,1,6,1,13877,2,24,957
2,2,2,1,1,2,1,13878,2,12,1434
1,4,1,1,1,1,1,13879,4,8,3216
2,3,1,2,1,4,1,13880,3,20,3090
2,2,1,1,2,4,1,13881,12,19,2584
2,4,1,1,2,5,1,13882,2,20,3021
2,4,1,2,1,3,1,13883,5,9,3525
2,5,1,2,1,2,1,13884,17,14,7378
2,3,1,2,1,1,1,13885,2,3,800
1,3,1,1,1,2,1,13886,4,22,2131
3,4,1,2,1,4,1,13887,6,24,1797
1,1,1,2,1,4,1,13888,6,27,2893
2,2,0,2,2,5,1,13889,5,26,2152
2,3,1,1,1,3,1,13890,3,9,4673
1,2,1,2,2,3,1,13891,14,30,5770
1,3,1,2,2,3,1,13892,1,15,12518
2,3,0,2,2,4,1,13893,5,8,1975
3,5,1,1,1,4,1,13894,13,5,1902
1,2,1,2,1,3,1,13895,18,27,1493
1,2,1,1,2,5,1,13896,10,4,1029
1,1,0,2,2,6,1,13897,3,17,2025
3,4,0,2,2,5,1,13898,14,11,4889
2,4,1,1,1,3,1,13899,2,23,1625
2,3,2,2,2,2,1,13900,10,24,1785
2,5,2,1,1,3,1,13901,1,31,2146
1,2,1,2,2,4,1,13902,11,27,2660
2,4,1,1,2,5,1,13903,17,32,1688
3,4,1,1,1,4,1,13904,3,11,7159
1,2,0,2,2,4,1,13905,11,31,2239
2,3,1,2,1,3,1,13906,11,27,2396
2,4,0,2,2,2,1,13907,2,18,1108
1,2,0,1,1,2,1,13908,14,2,1927
1,3,1,2,1,4,1,13909,5,22,2278
3,6,2,1,1,3,1,13910,5,30,10259
1,2,1,2,2,2,1,13911,2,29,1021
1,4,2,1,1,2,1,13912,3,19,3120
1,3,0,1,1,1,1,13913,10,20,3206
2,3,1,2,1,1,1,13914,14,28,2431
3,4,3,1,1,4,1,13915,3,19,2811
1,1,0,2,2,4,1,13916,18,11,4721
2,4,0,2,2,2,1,13917,14,16,3460
2,4,1,2,1,3,1,13918,3,22,2002
1,1,1,2,1,3,1,13919,3,17,1044
2,4,1,1,1,5,1,13920,1,23,1797
2,3,1,1,1,7,1,13921,2,3,669
3,6,2,1,1,1,1,13922,1,8,3082
2,4,1,2,1,2,1,13923,1,19,3242
2,4,1,1,1,2,1,13924,5,13,1613
4,5,2,1,1,4,1,13925,4,3,749
2,4,1,1,1,1,1,13926,5,9,3527
7,8,2,2,1,7,1,13927,6,16,4626
2,4,1,2,1,3,1,13928,4,17,1209
3,4,1,2,1,4,1,13929,5,18,1108
