upm,viv_sel,p1_1,p1_2,p1_3,region,tloc,est_dis,upm_dis,fac_viv
203561,5,1,1,,1,1,9,89,2016
203654,1,4,1,,1,1,8,90,3217
203654,2,3,1,,1,1,8,90,3217
203654,3,2,1,,1,1,8,90,3217
203654,4,3,1,,1,1,8,90,3217
203654,5,1,1,,1,1,8,90,3217
203914,1,4,1,,1,1,8,91,2485
203914,3,3,1,,1,1,8,91,2485
203914,4,3,1,,1,1,8,91,2485
203914,5,1,1,,1,1,8,91,2485
204023,1,4,1,,1,1,8,92,2877
204023,2,2,1,,1,1,8,92,2877
204023,4,4,1,,1,1,8,92,2877
204023,5,3,1,,1,1,8,92,2877
204117,1,2,1,,1,1,8,93,2564
204117,2,1,1,,1,1,8,93,2564
204117,3,5,1,,1,1,8,93,2564
204117,4,6,1,,1,1,8,93,2564
204117,5,2,1,,1,1,8,93,2564
204200,1,3,1,,1,1,8,94,2439
204200,2,3,1,,1,1,8,94,2439
204200,3,2,1,,1,1,8,94,2439
204200,4,2,1,,1,1,8,94,2439
204200,5,3,1,,1,1,8,94,2439
204301,1,1,1,,1,1,9,95,2557
204301,2,3,1,,1,1,9,95,2557
204301,3,3,1,,1,1,9,95,2557
204301,4,2,1,,1,1,9,95,2557
204301,5,1,1,,1,1,9,95,2557
204529,1,4,1,,1,1,8,96,2982
204529,2,1,1,,1,1,8,96,2982
204529,3,2,1,,1,1,8,96,2982
204529,5,2,1,,1,1,8,96,2982
204612,1,1,1,,1,1,9,97,2621
204612,2,4,1,,1,1,9,97,2621
204612,3,3,1,,1,1,9,97,2621
204612,4,1,1,,1,1,9,97,2621
204612,5,1,1,,1,1,9,97,2621
204621,1,3,1,,1,1,10,98,3325
204621,2,5,1,,1,1,10,98,3325
204621,3,4,1,,1,1,10,98,3325
204621,4,4,1,,1,1,10,98,3325
204621,5,4,1,,1,1,10,98,3325
204694,1,2,1,,1,1,9,99,2023
204694,2,4,1,,1,1,9,99,2023
204694,3,4,1,,1,1,9,99,2023
204694,4,2,1,,1,1,9,99,2023
204694,5,2,1,,1,1,9,99,2023
204829,1,3,1,,1,1,8,100,2700
204829,2,1,1,,1,1,8,100,2700
204829,3,3,1,,1,1,8,100,2700
204829,4,2,1,,1,1,8,100,2700
204829,5,3,1,,1,1,8,100,2700
204909,1,1,1,,1,1,9,101,2304
204909,2,4,1,,1,1,9,101,2304
204909,3,3,1,,1,1,9,101,2304
204909,4,2,1,,1,1,9,101,2304
204909,5,2,1,,1,1,9,101,2304
204924,1,1,1,,1,1,8,102,2808
204924,2,5,1,,1,1,8,102,2808
204924,3,4,1,,1,1,8,102,2808
204924,4,1,1,,1,1,8,102,2808
204924,5,1,1,,1,1,8,102,2808
204963,1,4,1,,1,1,9,103,2831
204963,2,3,1,,1,1,9,103,2831
204963,3,7,1,,1,1,9,103,2831
204963,4,5,1,,1,1,9,103,2831
204963,5,3,1,,1,1,9,103,2831
205552,1,2,1,,1,1,8,104,2782
205552,2,5,1,,1,1,8,104,2782
205552,3,1,1,,1,1,8,104,2782
205552,4,4,1,,1,1,8,104,2782
205552,5,6,1,,1,1,8,104,2782
205604,1,4,1,,1,1,8,105,2527
205604,3,6,1,,1,1,8,105,2527
205604,4,4,1,,1,1,8,105,2527
205604,5,1,1,,1,1,8,105,2527
205619,1,5,1,,1,1,9,106,2347
205619,3,2,1,,1,1,9,106,2347
205619,4,3,1,,1,1,9,106,2347
205619,5,4,1,,1,1,9,106,2347
205844,1,1,1,,1,1,9,107,2589
205844,2,5,1,,1,1,9,107,2589
205844,3,4,1,,1,1,9,107,2589
205844,5,5,1,,1,1,9,107,2589
205857,1,2,1,,1,1,9,108,2154
205857,2,3,1,,1,1,9,108,2154
205857,3,4,1,,1,1,9,108,2154
205857,5,3,1,,1,1,9,108,2154
206161,1,2,1,,1,1,10,109,2862
206161,2,2,1,,1,1,10,109,2862
206161,3,5,1,,1,1,10,109,2862
206161,4,2,1,,1,1,10,109,2862
206161,5,5,1,,1,1,10,109,2862
206341,1,3,1,,1,1,8,110,2722
206341,2,2,1,,1,1,8,110,2722
206341,3,2,1,,1,1,8,110,2722
206341,4,5,1,,1,1,8,110,2722
206341,5,5,1,,1,1,8,110,2722
206343,1,1,1,,1,1,9,111,2819
206343,2,2,1,,1,1,9,111,2819
206343,3,3,1,,1,1,9,111,2819
206343,4,1,1,,1,1,9,111,2819
206343,5,5,1,,1,1,9,111,2819
206501,2,4,1,,1,1,10,112,2509
206501,3,2,1,,1,1,10,112,2509
206501,4,5,1,,1,1,10,112,2509
206561,1,3,1,,1,1,10,113,2994
206561,2,4,1,,1,1,10,113,2994
206561,3,5,1,,1,1,10,113,2994
206561,4,4,1,,1,1,10,113,2994
206561,5,4,1,,1,1,10,113,2994
206641,3,4,1,,1,1,10,114,3188
206656,1,1,1,,1,1,9,115,2545
206656,2,4,1,,1,1,9,115,2545
206656,3,4,1,,1,1,9,115,2545
206656,4,4,1,,1,1,9,115,2545
206684,1,4,1,,1,1,10,116,2930
206684,2,3,1,,1,1,10,116,2930
206684,3,6,1,,1,1,10,116,2930
206684,4,3,1,,1,1,10,116,2930
206690,1,5,1,,1,1,9,117,2356
206690,2,4,1,,1,1,9,117,2356
206690,3,7,1,,1,1,9,117,2356
206690,4,5,1,,1,1,9,117,2356
206690,5,4,1,,1,1,9,117,2356
206713,1,1,1,,1,1,8,118,2303
206713,2,3,1,,1,1,8,118,2303
206713,3,7,1,,1,1,8,118,2303
206713,4,4,1,,1,1,8,118,2303
206713,5,8,1,,1,1,8,118,2303
206871,2,2,1,,1,1,10,119,3079
206871,3,5,1,,1,1,10,119,3079
206871,4,7,1,,1,1,10,119,3079
206871,5,2,1,,1,1,10,119,3079
207074,1,5,1,,1,2,6,120,6464
207074,2,1,1,,1,2,6,120,6464
207074,4,1,1,,1,2,6,120,6464
207074,5,3,1,,1,2,6,120,6464
207074,6,1,1,,1,2,6,120,6464
207074,7,4,1,,1,2,6,120,6464
207074,8,2,1,,1,2,6,120,6464
207074,10,2,1,,1,2,6,120,6464
207074,11,2,1,,1,2,6,120,6464
207074,12,3,1,,1,2,6,120,6464
207074,14,4,1,,1,2,6,120,6464
207074,15,3,1,,1,2,6,120,6464
207074,16,1,1,,1,2,6,120,6464
207074,17,5,1,,1,2,6,120,6464
207074,18,4,1,,1,2,6,120,6464
207074,19,5,1,,1,2,6,120,6464
207283,1,3,1,,1,2,8,121,4014
207283,2,5,1,,1,2,8,121,4014
207283,3,5,1,,1,2,8,121,4014
207283,4,5,1,,1,2,8,121,4014
207283,5,3,1,,1,2,8,121,4014
207496,1,3,1,,1,2,10,122,4553
207496,2,1,1,,1,2,10,122,4553
207496,3,4,1,,1,2,10,122,4553
207496,4,4,1,,1,2,10,122,4553
207496,5,5,1,,1,2,10,122,4553
207914,1,4,1,,1,3,6,123,1948
207914,2,1,1,,1,3,6,123,1948
207914,3,4,1,,1,3,6,123,1948
207914,4,3,1,,1,3,6,123,1948
207914,5,3,1,,1,3,6,123,1948
207914,6,4,1,,1,3,6,123,1948
207914,7,3,1,,1,3,6,123,1948
207914,8,4,1,,1,3,6,123,1948
207914,9,1,1,,1,3,6,123,1948
207914,10,6,1,,1,3,6,123,1948
207914,11,8,1,,1,3,6,123,1948
207914,13,4,1,,1,3,6,123,1948
207914,14,2,1,,1,3,6,123,1948
