"VIV_SEL","HOGAR","P3_2","P3_3","P3_5","P4_1","P4_5","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P8_1","P9_1","P10_1","P11_1_1","P11_1_2","P11_1_3","P12_1","TLOC","SEXO","EDAD","EST_DIS","UPM_DIS","UPM","FAC_PER","GRA","NIV","P3_1","P4_4_1","P4_4_2","P4_4_3","P4_4_4","P4_4_5","P4_4_6","P4_4_7","P5_3","P5_4","P10_8","R_SEL","FACTOR","P3_11","P4_3","P4_8","P5_31","P6_4","P6_20","P7_1","P10_17","P11_1_9","P12_3_1","P12_3_2","P12_3_3","P12_3_4","P12_3_5","P12_3_6"
5,1,5,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,1,41,3,16,101187,12201,3,3,1,2,1,1,1,2,1,2,2,1,1,1,6096,1,4,1,2,1,3,2,2,2,2,2,1,2,2,2
5,1,3,1,5,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,56,2,2,100097,5545,6,2,3,1,1,2,1,2,2,2,1,2,2,2,5545,1,3,1,2,2,3,2,2,1,1,2,2,2,2,2
1,1,6,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,46,3,3,100179,16834,0,0,3,2,2,2,2,2,2,2,2,2,2,2,5607,2,5,1,2,2,2,2,2,1,2,2,2,2,2,2
3,1,6,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,30,3,3,100179,33668,3,3,3,2,2,2,1,1,2,2,2,1,1,5,5607,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2
5,1,5,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,1,2,2,1,2,41,3,3,100179,28056,3,6,2,2,2,1,1,1,1,2,1,1,1,2,5607,1,1,1,1,1,3,2,1,2,1,2,1,2,2,2
4,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,39,2,1,100077,11424,1,6,1,1,1,2,1,2,1,2,1,2,2,1,5712,1,3,1,2,2,2,2,2,2,2,1,2,2,2,2
5,1,1,1,1,2,1,2,2,2,1,2,2,1,1,2,1,2,1,2,2,2,2,1,2,1,1,28,2,1,100077,11424,3,3,1,2,1,1,2,2,2,2,2,1,2,1,5712,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2
4,1,4,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,65,2,22,101842,12064,0,0,1,1,1,1,1,1,2,2,2,1,1,1,6032,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2
3,1,5,1,8,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,69,4,21,101727,13932,6,2,1,2,2,1,2,2,2,2,1,1,1,1,6940,1,3,1,2,2,3,2,2,2,2,1,1,2,2,2
5,1,5,1,6,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,61,3,15,101071,9595,3,3,1,2,2,1,1,2,2,2,1,1,1,1,4794,1,5,1,1,2,3,2,2,2,2,2,2,2,2,2
4,1,5,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,30,3,11,100850,11899,3,3,1,1,1,2,2,2,2,2,2,1,1,1,5945,2,3,1,2,2,3,2,2,2,2,2,2,2,2,2
3,1,3,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,55,2,8,100727,18804,6,2,1,1,1,2,1,2,2,2,2,2,2,1,6268,1,5,1,2,2,2,2,1,1,2,2,2,2,2,2
1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,2,2,1,2,56,2,8,100727,12536,6,2,1,2,2,1,1,2,2,2,2,1,1,1,6268,1,4,1,2,2,3,1,1,2,2,2,2,2,2,2
5,1,6,1,5,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,18,2,18,101499,15639,5,2,5,1,1,2,2,1,2,2,2,2,2,4,5213,1,4,1,2,2,3,2,1,1,2,2,2,2,2,2
1,1,6,1,8,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,21,4,7,100679,19166,3,6,3,2,2,2,1,2,2,2,1,2,2,3,6365,1,5,1,1,2,3,2,2,1,2,2,2,2,2,2
2,1,5,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,1,51,4,17,101302,17116,3,8,1,2,2,1,2,1,2,2,2,2,1,1,5684,1,2,3,2,1,1,1,1,2,2,1,2,2,2,2
4,1,5,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,57,4,17,101302,5705,3,6,1,1,2,2,1,2,2,2,2,2,2,1,5684,2,3,1,2,2,2,2,1,2,2,1,1,2,2,2
5,1,6,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,30,4,17,101302,17116,3,6,3,1,2,2,1,2,2,2,1,1,1,3,5684,1,2,1,1,2,2,1,1,2,1,1,2,2,2,2
2,1,5,1,6,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,62,3,6,100462,17206,5,8,1,2,1,2,1,2,2,2,1,1,1,1,5731,2,4,1,1,2,2,1,2,2,2,2,2,2,2,2
2,1,3,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,59,3,9,100779,5989,2,5,1,1,1,1,1,2,2,2,2,1,1,1,5984,1,4,1,2,1,3,1,1,1,2,1,1,2,2,2
5,1,5,1,5,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,28,3,5,100461,11235,3,3,2,2,2,1,1,2,2,2,1,2,2,2,5613,1,2,1,2,2,1,2,1,1,2,2,2,2,2,2
2,1,5,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,1,2,50,4,12,100893,27362,5,8,2,2,2,1,1,1,2,2,1,2,1,2,6815,1,3,1,2,1,2,1,2,2,2,1,1,2,2,2
1,1,6,1,1,2,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,1,1,36,3,5,100461,11235,4,8,3,1,1,2,1,2,2,2,2,2,2,2,5613,1,3,1,1,2,3,2,2,2,2,2,2,2,2,2
5,1,6,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,26,4,21,101727,13932,4,8,1,2,1,1,1,1,1,2,1,1,1,1,6940,1,3,2,2,1,2,1,1,2,2,1,1,2,2,2
2,1,5,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,2,2,1,2,1,1,37,4,21,101727,13932,2,9,1,1,2,1,1,2,2,2,1,1,1,1,6940,1,3,1,1,1,2,2,1,2,2,1,1,2,2,2
1,1,5,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,26,4,21,101727,13932,3,3,1,1,1,2,1,1,1,2,1,1,1,1,6940,1,3,2,2,1,1,2,2,2,2,2,1,2,2,2
2,1,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,31,3,11,100850,11899,3,3,1,1,2,1,1,1,2,2,1,2,1,1,5945,1,3,1,1,2,3,1,2,2,2,2,1,2,2,2
2,1,5,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,1,2,44,2,18,101499,26065,3,3,1,1,1,2,1,1,2,2,2,1,1,1,5213,1,4,1,2,1,3,1,1,2,2,2,1,2,2,2
5,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1,23,2,24,101908,22366,6,2,1,1,1,1,1,1,1,2,2,2,1,1,11183,1,4,1,1,1,2,2,2,2,2,1,1,2,2,2
3,1,3,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,2,58,2,24,101908,11183,3,2,1,2,1,2,1,2,2,2,1,1,2,1,11183,1,4,1,2,2,3,2,2,1,2,2,1,2,2,2
4,1,5,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,1,47,3,9,100779,17966,3,6,1,2,2,2,1,2,2,2,1,1,2,1,5984,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2
1,1,6,1,4,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,19,3,10,100815,21384,3,6,3,1,1,1,2,2,2,2,2,2,2,4,5342,1,3,1,1,2,3,1,1,2,2,2,2,2,2,2
5,1,3,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,2,1,2,2,1,2,44,3,10,100815,10692,3,3,1,2,1,2,1,2,2,2,2,2,1,1,5342,1,4,3,2,1,2,2,2,2,2,1,1,2,2,2
5,1,5,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,49,3,11,100850,11899,6,2,1,2,2,1,1,2,2,2,1,2,2,1,5945,1,4,1,1,2,3,2,2,1,2,2,2,2,2,1
2,1,6,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,21,3,15,101071,14393,3,8,3,2,1,1,1,2,2,2,2,1,1,2,4794,1,3,1,2,2,3,2,2,1,2,2,2,2,2,2
3,1,5,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,40,3,14,100942,10556,3,4,2,1,2,2,1,1,2,2,2,1,1,2,5274,1,3,2,2,1,2,1,2,2,2,2,1,2,2,2
4,1,5,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,28,3,14,100942,10556,3,6,2,2,2,2,2,2,2,2,2,1,2,2,5274,1,2,1,2,2,3,1,1,2,2,2,2,2,2,2
5,1,1,1,5,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,25,3,14,100942,15834,3,3,5,1,2,2,1,2,2,2,2,2,2,3,5274,1,5,1,2,2,3,2,2,1,2,2,2,2,2,2
5,1,5,1,6,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,58,3,9,100779,11977,3,4,2,1,2,2,2,2,2,2,1,1,1,2,5984,1,3,1,2,2,3,1,1,2,2,1,1,2,2,2
13,1,5,2,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,4,2,68,12,28,160084,14982,0,0,2,2,2,1,2,2,2,2,2,2,2,3,4994,2,5,1,2,2,3,2,2,1,2,2,2,2,2,2
14,1,1,1,5,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,4,2,32,12,28,160084,4994,3,3,1,2,2,2,1,2,2,2,2,2,2,2,4994,1,5,1,2,2,3,2,2,1,2,2,1,2,2,2
16,1,5,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,65,12,28,160084,4994,6,2,2,2,2,1,1,2,2,2,2,2,2,2,4994,2,5,1,2,2,3,2,2,1,2,2,1,2,2,2
15,1,5,1,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,4,1,29,12,28,160084,9988,3,3,1,1,2,1,1,2,1,2,1,2,2,1,4994,1,2,1,2,2,3,2,2,1,2,2,1,2,2,2
4,1,1,1,5,1,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,4,2,38,12,28,160084,9988,6,2,2,2,2,1,1,2,1,2,2,2,2,2,4994,2,4,1,2,2,3,2,2,1,2,2,1,2,2,2
1,1,5,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,39,12,28,160084,9988,6,2,2,2,2,2,1,2,2,2,2,2,2,2,4994,2,5,1,2,2,3,2,2,1,2,2,2,2,2,2
2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,2,2,2,4,1,28,12,28,160084,9988,5,2,1,2,2,1,1,2,2,2,1,2,2,1,4994,1,5,1,1,2,3,2,2,2,2,2,2,2,2,2
20,1,5,1,5,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,1,4,2,28,12,28,160084,9988,6,2,2,2,2,2,1,2,1,2,2,2,2,2,4994,1,5,1,1,2,3,2,2,2,2,2,1,2,2,2
5,1,1,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,4,2,36,12,28,160084,9988,6,2,2,2,1,2,2,2,2,2,1,2,2,2,4994,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2
8,1,6,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,4,1,22,12,28,160084,24970,3,3,3,2,2,1,1,2,2,2,1,1,1,5,4994,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2
9,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,4,1,65,12,28,160084,9988,6,2,1,2,2,1,1,2,2,2,2,1,1,1,4994,2,2,1,2,2,3,2,2,1,2,1,2,2,2,1
11,1,1,1,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,2,37,12,28,160084,29964,6,2,2,2,2,2,1,2,2,2,1,2,2,3,4994,1,4,1,2,2,3,2,2,1,2,2,2,2,2,2
9,1,5,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,9,1,1,1,2,2,2,2,2,43,5,25,102125,15447,2,6,2,2,2,1,1,2,2,2,1,2,1,2,5123,2,4,1,1,2,3,2,1,2,2,2,1,2,2,2
6,1,6,1,4,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,22,5,25,102125,15447,4,8,5,2,1,2,2,2,2,2,2,2,2,2,5123,1,3,1,2,2,3,2,2,2,2,2,2,2,2,2
13,1,5,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,48,5,25,102125,15447,1,6,1,1,2,1,1,2,1,2,2,2,2,1,5123,1,5,1,2,2,2,2,2,1,1,1,1,2,2,2
15,1,5,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,62,5,25,102125,15447,3,3,1,1,1,1,1,1,1,2,2,1,1,1,5123,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2
17,1,5,1,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,53,5,25,102125,46341,3,3,2,2,2,2,2,2,2,2,2,2,1,2,5123,1,5,1,2,2,3,2,2,1,2,2,2,2,2,2
8,1,5,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,35,5,25,102125,5149,2,6,1,2,1,2,1,2,2,2,2,2,2,2,5123,1,3,1,2,2,1,2,1,1,2,2,2,2,2,2
8,2,5,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,41,5,25,102125,5149,3,3,1,2,2,1,1,2,2,2,1,2,2,1,5123,1,4,1,1,2,3,2,2,1,2,2,2,2,2,2
7,1,6,1,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,23,5,25,102125,15447,4,8,3,1,1,2,1,1,1,2,2,1,1,3,5123,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2
12,1,5,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,5,25,102125,36043,6,2,2,2,2,2,2,2,2,2,2,2,2,2,5123,1,5,1,2,2,3,2,2,1,2,2,1,2,2,2
2,1,1,1,5,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,30,2,24,101908,22366,3,3,2,2,1,1,1,2,1,2,2,2,1,2,11183,1,3,1,1,2,1,2,2,2,2,2,2,2,2,2
2,2,5,1,5,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,30,2,24,101908,22366,6,2,2,2,1,1,1,2,1,2,2,2,1,2,11183,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2
10,1,4,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,35,5,25,102125,10298,3,6,1,2,2,2,2,2,2,2,1,2,2,1,5123,1,3,1,1,2,2,2,2,1,2,2,2,2,2,2
2,1,5,1,5,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,45,5,25,102125,15447,3,3,2,1,2,2,2,2,2,2,1,2,2,2,5123,2,5,1,1,1,2,2,1,1,2,2,2,2,2,2
11,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,2,2,2,2,43,5,25,102125,10298,3,6,2,1,1,2,2,2,1,2,1,1,1,2,5123,1,3,2,2,2,2,1,2,2,2,2,2,2,2,1
18,1,5,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,42,5,25,102125,15447,3,3,2,2,2,1,1,2,2,2,2,2,2,2,5123,1,3,1,2,2,3,2,2,2,2,2,2,2,2,1
1,1,6,1,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,20,5,25,102125,15447,3,7,3,1,2,1,1,2,1,2,2,1,1,3,5123,1,5,1,1,2,3,2,2,2,2,2,2,2,2,2
3,1,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,29,4,12,100893,20521,4,8,2,1,1,1,1,2,2,2,1,1,1,2,6815,1,4,1,2,2,3,1,1,2,2,2,2,2,2,2
1,1,5,1,3,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,1,2,1,2,29,3,9,100779,11977,4,8,2,2,1,2,1,1,1,2,2,2,2,2,5984,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2
1,1,6,1,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,1,33,3,14,100942,15834,3,6,3,2,1,1,1,2,2,2,1,1,1,3,5274,1,3,2,2,1,1,1,1,2,2,1,2,2,2,2
20,1,6,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,43,5,25,102125,5149,3,6,1,2,1,2,1,1,1,2,1,1,1,1,5123,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2
3,1,5,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,1,1,30,3,10,100815,10692,2,8,1,2,2,1,1,1,1,2,2,2,1,1,5342,1,4,1,1,1,3,1,1,2,2,2,1,2,1,2
2,1,5,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,60,4,7,100679,19166,3,6,2,2,1,2,2,2,2,2,1,2,2,3,6365,1,4,1,2,1,3,1,1,2,1,1,1,1,2,2
4,1,5,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,3,1,34,9,26,102355,8446,3,3,1,1,2,2,2,2,2,2,2,2,2,1,4221,1,4,1,2,2,3,2,2,1,2,2,1,2,2,2
8,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,41,9,26,102355,12669,3,3,1,2,2,2,1,2,2,2,1,2,2,1,4221,1,5,1,2,2,3,2,2,1,2,2,1,2,2,2
9,1,5,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,3,2,20,9,26,102355,21115,2,8,3,2,2,1,2,2,2,2,2,1,1,5,4221,1,1,1,2,2,3,2,1,2,2,2,2,2,2,2
18,1,3,1,8,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,3,1,46,9,26,102355,4223,6,2,1,2,2,1,2,2,2,2,2,2,2,1,4221,1,3,1,2,2,1,2,1,1,2,1,1,2,2,2
10,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,3,1,30,9,26,102355,8446,3,3,1,2,2,2,1,2,1,2,2,2,2,1,4221,1,5,1,2,2,3,2,2,2,2,2,2,2,2,1
5,1,6,1,4,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,3,2,21,9,26,102355,12669,3,8,3,1,2,2,1,2,2,2,2,2,2,3,4221,1,4,1,1,1,2,1,1,2,2,2,2,2,2,2
7,1,6,1,1,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,3,2,22,9,26,102355,21115,3,8,3,2,1,1,1,1,1,2,1,1,1,3,4221,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2
3,1,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,54,9,26,102355,12669,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4221,2,5,1,1,2,3,2,2,1,2,2,2,2,2,2
11,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,2,19,9,26,102355,8446,1,3,2,1,2,2,1,2,2,2,1,1,1,2,4221,1,3,1,1,2,2,2,1,1,2,2,2,2,2,2
2,1,6,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,1,54,12,27,160050,12585,0,0,1,2,2,2,1,2,2,2,2,2,2,1,4195,2,5,1,2,2,3,2,2,1,1,2,1,2,2,2
4,1,6,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,1,40,12,27,160050,8390,3,3,1,2,2,2,1,2,2,2,2,2,2,1,4195,2,3,1,2,1,1,2,2,1,2,2,2,2,2,2
