"VIV_SEL","TLOC","REGION","EST_DIS","UPM_DIS","P1_1","P1_2","FAC_VIV","UPM"
4,2,3,1,47,2,1,1294,102157
5,2,3,1,47,6,1,1294,102157
6,2,3,1,47,2,1,1294,102157
7,2,3,1,47,3,1,1294,102157
8,2,3,1,47,2,1,1294,102157
9,2,3,1,47,4,1,1294,102157
10,2,3,1,47,4,1,1294,102157
11,2,3,1,47,4,1,1294,102157
12,2,3,1,47,2,1,1294,102157
13,2,3,1,47,2,1,1294,102157
14,2,3,1,47,1,1,1294,102157
15,2,3,1,47,6,1,1294,102157
16,2,3,1,47,4,1,1294,102157
17,2,3,1,47,3,1,1294,102157
18,2,3,1,47,9,1,1294,102157
19,2,3,1,47,4,1,1294,102157
20,2,3,1,47,3,1,1294,102157
1,3,3,4,48,2,1,1237,102284
2,3,3,4,48,1,1,1237,102284
4,3,3,4,48,3,1,1237,102284
1,3,3,1,49,5,1,1331,102366
2,3,3,1,49,6,1,1331,102366
3,3,3,1,49,3,1,1331,102366
4,3,3,1,49,5,1,1331,102366
5,3,3,1,49,2,1,1331,102366
6,3,3,1,49,5,1,1331,102366
7,3,3,1,49,6,1,1331,102366
8,3,3,1,49,4,1,1331,102366
9,3,3,1,49,5,1,1331,102366
11,3,3,1,49,4,1,1331,102366
12,3,3,1,49,5,1,1331,102366
13,3,3,1,49,2,1,1331,102366
15,3,3,1,49,4,1,1331,102366
16,3,3,1,49,3,1,1331,102366
17,3,3,1,49,8,1,1331,102366
18,3,3,1,49,5,1,1331,102366
19,3,3,1,49,3,1,1331,102366
20,3,3,1,49,4,1,1331,102366
1,4,3,2,50,4,1,1563,160041
2,4,3,2,50,1,1,1563,160041
3,4,3,2,50,1,1,1563,160041
4,4,3,2,50,5,1,1563,160041
5,4,3,2,50,2,1,1563,160041
6,4,3,2,50,2,1,1563,160041
7,4,3,2,50,3,1,1563,160041
8,4,3,2,50,2,1,1563,160041
9,4,3,2,50,4,1,1563,160041
10,4,3,2,50,3,1,1563,160041
11,4,3,2,50,1,1,1563,160041
12,4,3,2,50,4,1,1563,160041
13,4,3,2,50,1,1,1563,160041
14,4,3,2,50,4,1,1563,160041
15,4,3,2,50,4,1,1563,160041
17,4,3,2,50,1,1,1563,160041
19,4,3,2,50,2,1,1563,160041
20,4,3,2,50,6,1,1563,160041
1,4,3,2,51,2,1,1801,160060
2,4,3,2,51,5,1,1801,160060
3,4,3,2,51,7,1,1801,160060
4,4,3,2,51,15,2,1801,160060
5,4,3,2,51,3,1,1801,160060
6,4,3,2,51,4,1,1801,160060
7,4,3,2,51,1,1,1801,160060
8,4,3,2,51,5,1,1801,160060
9,4,3,2,51,1,1,1801,160060
10,4,3,2,51,5,1,1801,160060
11,4,3,2,51,4,1,1801,160060
12,4,3,2,51,4,1,1801,160060
13,4,3,2,51,2,1,1801,160060
14,4,3,2,51,3,1,1801,160060
15,4,3,2,51,3,1,1801,160060
16,4,3,2,51,4,1,1801,160060
17,4,3,2,51,2,1,1801,160060
18,4,3,2,51,3,1,1801,160060
19,4,3,2,51,5,1,1801,160060
20,4,3,2,51,4,1,1801,160060
5,4,3,2,52,5,1,847,160192
6,4,3,2,52,4,1,847,160192
7,4,3,2,52,2,1,847,160192
9,4,3,2,52,2,1,847,160192
10,4,3,2,52,5,1,847,160192
12,4,3,2,52,2,1,847,160192
13,4,3,2,52,4,1,847,160192
14,4,3,2,52,3,1,847,160192
15,4,3,2,52,1,1,847,160192
16,4,3,2,52,1,1,847,160192
17,4,3,2,52,2,1,847,160192
19,4,3,2,52,1,1,847,160192
20,4,3,2,52,4,1,847,160192
1,1,1,9,53,2,1,3014,200028
2,1,1,9,53,1,1,3014,200028
3,1,1,9,53,2,1,3014,200028
4,1,1,9,53,5,1,3014,200028
2,1,1,10,54,3,1,3309,200030
3,1,1,10,54,2,1,3309,200030
4,1,1,10,54,4,1,3309,200030
5,1,1,10,54,3,1,3309,200030
1,1,1,9,55,3,1,2413,200199
2,1,1,9,55,1,1,2413,200199
3,1,1,9,55,1,1,2413,200199
4,1,1,9,55,4,1,2413,200199
5,1,1,9,55,2,1,2413,200199
2,1,1,9,56,4,1,2445,200235
3,1,1,9,56,6,1,2445,200235
4,1,1,9,56,4,1,2445,200235
1,1,1,8,57,1,1,3137,200429
2,1,1,8,57,2,1,3137,200429
4,1,1,8,57,1,1,3137,200429
5,1,1,8,57,4,1,3137,200429
1,1,1,10,58,2,1,2407,200548
2,1,1,10,58,4,1,2407,200548
3,1,1,10,58,2,1,2407,200548
1,1,1,8,59,2,1,2366,200636
3,1,1,8,59,4,1,2366,200636
5,1,1,8,59,1,1,2366,200636
1,1,1,9,60,4,1,2225,200752
2,1,1,9,60,3,1,2225,200752
3,1,1,9,60,5,1,2225,200752
4,1,1,9,60,3,1,2225,200752
5,1,1,9,60,4,1,2225,200752
1,1,1,9,61,1,1,2411,200960
2,1,1,9,61,5,1,2411,200960
3,1,1,9,61,3,1,2411,200960
4,1,1,9,61,1,1,2411,200960
5,1,1,9,61,1,1,2411,200960
1,1,1,9,62,4,1,2597,201291
2,1,1,9,62,4,1,2597,201291
3,1,1,9,62,7,1,2597,201291
4,1,1,9,62,2,1,2597,201291
5,1,1,9,62,5,1,2597,201291
2,1,1,8,63,1,1,2594,201300
4,1,1,8,63,2,1,2594,201300
5,1,1,8,63,5,1,2594,201300
1,1,1,10,64,2,1,3418,201507
2,1,1,10,64,6,1,3418,201507
3,1,1,10,64,2,1,3418,201507
4,1,1,10,64,3,1,3418,201507
5,1,1,10,64,5,1,3418,201507
1,1,1,10,65,5,1,3194,201558
2,1,1,10,65,2,1,3194,201558
3,1,1,10,65,5,1,3194,201558
4,1,1,10,65,2,1,3194,201558
5,1,1,10,65,1,1,3194,201558
1,1,1,9,66,4,1,2972,201632
2,1,1,9,66,2,1,2972,201632
3,1,1,9,66,4,1,2972,201632
4,1,1,9,66,1,1,2972,201632
5,1,1,9,66,5,1,2972,201632
1,1,1,9,67,2,1,2666,201812
2,1,1,9,67,5,1,2666,201812
3,1,1,9,67,3,1,2666,201812
5,1,1,9,67,3,1,2666,201812
1,1,1,9,68,3,1,2584,201879
2,1,1,9,68,5,1,2584,201879
3,1,1,9,68,2,1,2584,201879
4,1,1,9,68,3,1,2584,201879
1,1,1,8,69,3,1,2783,201931
2,1,1,8,69,3,1,2783,201931
3,1,1,8,69,3,1,2783,201931
4,1,1,8,69,1,1,2783,201931
5,1,1,8,69,4,1,2783,201931
1,1,1,9,70,2,1,2106,202028
3,1,1,9,70,7,1,2106,202028
5,1,1,9,70,8,1,2106,202028
1,1,1,9,71,2,1,2666,202050
2,1,1,9,71,3,1,2666,202050
3,1,1,9,71,4,1,2666,202050
4,1,1,9,71,5,1,2666,202050
5,1,1,9,71,3,1,2666,202050
2,1,1,9,72,2,1,2642,202140
3,1,1,9,72,3,1,2642,202140
4,1,1,9,72,3,1,2642,202140
5,1,1,9,72,5,1,2642,202140
1,1,1,9,73,4,1,2880,202171
2,1,1,9,73,3,1,2880,202171
3,1,1,9,73,5,1,2880,202171
4,1,1,9,73,2,1,2880,202171
1,1,1,8,74,5,1,2862,202259
2,1,1,8,74,4,1,2862,202259
3,1,1,8,74,4,1,2862,202259
4,1,1,8,74,2,1,2862,202259
5,1,1,8,74,8,2,2862,202259
1,1,1,8,75,5,1,2644,202262
2,1,1,8,75,5,1,2644,202262
3,1,1,8,75,5,1,2644,202262
4,1,1,8,75,1,1,2644,202262
5,1,1,8,75,3,1,2644,202262
1,1,1,10,76,1,1,3159,202433
2,1,1,10,76,5,1,3159,202433
3,1,1,10,76,4,1,3159,202433
4,1,1,10,76,4,1,3159,202433
5,1,1,10,76,3,1,3159,202433
1,1,1,10,77,3,1,3418,202467
5,1,1,10,77,2,1,3418,202467
1,1,1,9,78,4,1,2493,202533
2,1,1,9,78,1,1,2493,202533
3,1,1,9,78,2,1,2493,202533
4,1,1,9,78,1,1,2493,202533
5,1,1,9,78,4,1,2493,202533
2,1,1,10,79,4,1,3338,202624
3,1,1,10,79,5,1,3338,202624
4,1,1,10,79,1,1,3338,202624
5,1,1,10,79,5,1,3338,202624
1,1,1,10,80,1,1,3011,202629
