UPM,VIV_SEL,HOGAR,R_SEL,P3_1,P3_2,P3_3,NIV,GRA,P3_5,P3_6,P3_7,P3_8_1,P3_8_2,P3_9,P3_10,P3_11,P3_12,P4_1,P4_2,P4_3,P4_4_1,P4_4_2,P4_4_3,P4_4_4,P4_4_5,P4_4_6,P4_4_7,P4_4A,P4_5,P4_6_1,P4_6_2,P4_6_3,P4_6_4,P4_6_5,P4_7_1,P4_7_2,P4_7_3,P4_7_4,P4_7_5,P4_7_6,P4_7A,P4_8,P4_8A,P5_1_1,P5_1_2,P5_1_3,P5_1_4,P5_1_5,P5_1_6,P5_2_1,P5_2_2,P5_2_3,P5_2_4,P5_2_5,P5_2_6,P5_2_7,P5_2_8,P5_2A,P5_3,P5_4,P5_5,P5_6,P5_6A,P5_7_1,P5_7_2,P5_7_3,P5_7_4,P5_7_5,P5_7_6,P5_7A,P5_8_1,P5_8_2,P5_8_3,P5_8_4,P5_8_5,P5_8_6,P5_8_7,P5_8A,P5_9,P5_10_1,P5_10_2,P5_10_3,P5_10_4,P5_10A,P5_11_1,P5_12_1,P5_13_1,P5_14_1,P5_15_1,P5_16_1,P5_11_2,P5_12_2,P5_13_2,P5_14_2,P5_15_2,P5_16_2,P5_11_3,P5_12_3,P5_13_3,P5_14_3,P5_15_3,P5_16_3,P5_11_4,P5_12_4,P5_13_4,P5_14_4,P5_16_4,P5_11_5,P5_12_5,P5_13_5,P5_14_5,P5_16_5,P5_11_6,P5_11_6A,P5_12_6,P5_13_6,P5_14_6,P5_15_6,P5_16_6,P5_17_1,P5_17_2,P5_17_3,P5_17_4,P5_17_5,P5_17_6,P5_17_7,P5_17_8,P5_17_9,P5_17A,P5_18,P5_19,P5_20,P5_21,P5_22,P5_23,P5_23A,P5_24,P5_24A,P5_25_1,P5_26_1,P5_27_1_1,P5_27_1_2,P5_27_1_3,P5_27_1_4,P5_27_1_5,P5_27_1_6,P5_27_1_7,P5_27_1_8,P5_28_1,P5_29_1,P5_29_1A,P5_30_1,P5_30_1A,P5_25_2,P5_26_2,P5_27_2_1,P5_27_2_2,P5_27_2_3,P5_27_2_4,P5_27_2_5,P5_27_2_6,P5_27_2_7,P5_27_2_8,P5_28_2,P5_29_2,P5_29_2A,P5_30_2,P5_30_2A,P5_31,P5_32_1,P5_32_2,P5_32_2A,P6_1_1,P6_2_1,P6_1_2,P6_2_2,P6_1_3,P6_2_3,P6_1_4,P6_2_4,P6_1_5,P6_1_5A,P6_2_5,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_3_7,P6_3_8,P6_3_9,P6_3A,P6_4,P6_5,TLOC,EST_DIS,UPM_DIS,FACTOR,SEXO,EDAD,FAC_PER
0860935,09,01,02,2,5,1,6,3,5,1,4,00200,3,2,1,1,2,2,,5,1,2,1,1,2,1,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,2,2,1,1,2,2,1,1,2,1,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,2,,,,,1,GOBIERNO,1,3,1,2,2,,,,,,,,,,,,,,2,,1,,2,,2,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,4,,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,4,012,00220,03351,2,28,06702
0860935,06,01,02,2,5,1,8,4,1,,2,08000,3,1,6,1,1,1,3,3,2,2,1,1,2,2,2,,1,1,2,2,2,2,2,2,2,1,2,2,,1,,2,2,2,2,1,2,1,2,1,1,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,1,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,2,1,1,1,2,2,2,2,2,,2,,,1,01,,,,,2,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,2,,1,2,,,1,2,1,2,1,1,1,1,2,,,1,2,2,2,2,2,2,2,2,,2,2,4,012,00220,03351,2,38,06702
0800694,02,01,01,1,5,1,8,6,1,,2,18000,3,1,6,1,1,1,1,4,1,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,2,1,2,,1,,2,2,2,2,2,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,1,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,2,1,2,1,2,2,2,2,2,,1,2,,1,01,,,,,2,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,1,,1,2,,,1,2,2,,2,,2,,2,,,2,2,2,2,1,2,2,2,2,,2,1,1,003,00191,05930,1,51,11869
0800694,01,01,02,2,5,1,3,3,1,,2,04300,3,1,2,1,2,2,,3,2,2,1,2,2,2,2,,1,1,2,2,2,2,2,2,2,1,2,2,,1,,1,2,2,2,2,2,2,1,2,2,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,2,,,2,,1,,1,,2,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,2,,2,,,,2,,2,,1,1,2,,2,,,1,2,2,2,2,2,2,2,2,,2,1,1,003,00191,05930,2,48,29673
0800694,04,01,03,3,6,1,6,3,1,,2,02000,2,1,7,1,1,1,1,3,1,1,2,1,2,1,2,,2,,,,,,,,,,,,,1,,2,2,1,2,2,2,1,2,2,2,2,2,2,2,,1,2,2,1,,2,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,1,,1,003,00191,05930,2,22,17804
0802187,01,01,02,2,1,1,3,3,3,1,4,00300,3,2,1,2,,2,,4,1,2,1,2,2,1,2,,1,1,2,2,2,2,2,2,2,1,2,2,,1,,2,1,2,2,2,2,2,2,1,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,1,1,2,,,2,1,2,2,2,2,2,2,2,,2,2,1,002,00204,08111,2,24,16222
0808032,17,01,01,1,6,1,7,3,1,,2,01600,1,1,2,1,1,1,2,3,1,2,2,2,2,2,2,,1,2,1,2,2,2,1,2,2,2,2,2,,1,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,2,,,1,07,,,,,2,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,4,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,1,,2,006,00216,08608,2,27,08608
0808032,13,01,02,2,1,1,3,3,5,4,,,,,,1,1,2,,2,2,2,2,1,2,2,2,,2,,,,,,,,,,,,,1,,2,2,1,2,2,2,2,1,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,1,2,006,00216,08608,2,43,17216
0808032,16,01,02,2,5,1,4,3,5,4,,,,,,1,1,1,1,5,2,2,2,1,2,2,2,,1,2,2,1,2,2,2,2,2,2,1,2,,1,,2,2,1,2,2,2,1,2,2,2,2,2,2,2,,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,1,,2,006,00216,08608,2,39,17216
0808032,10,01,01,1,5,1,8,5,6,4,,,,,,1,1,1,2,4,1,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,1,2,2,,2,,2,1,1,2,2,2,2,1,2,2,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,1,2,1,1,2,,1,1,3,1,2,1,1,1,3,1,2,1,2,,,,,,2,,,,,2,,,,,2,,,,,,,1,1,1,2,2,2,2,2,2,,2,,,1,03,,,,,2,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,1,,1,1,1,,2,,2,,2,,2,,2,,,,,,,,,,,,,1,,2,006,00216,08608,1,69,17216
0808032,11,01,02,2,5,1,6,3,5,4,,,,,,1,1,1,1,3,2,2,1,1,1,2,2,,1,2,2,2,1,2,2,2,2,1,1,2,,1,,2,2,1,2,2,2,2,1,2,2,2,2,2,2,,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,2,,1,1,2,,2,,,2,2,2,1,2,2,2,2,2,,1,,2,006,00216,08608,2,49,17216
0808032,09,01,02,2,5,1,7,3,5,4,,,,,,1,1,1,2,3,1,2,2,1,2,2,2,,1,1,2,2,2,2,2,2,2,1,1,2,,1,,2,1,1,1,2,1,1,2,1,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,1,2,1,1,2,1,2,,,,,,2,,,,,2,,,,,2,,,,,,,2,1,1,2,2,2,2,2,2,,,,,1,02,,,,,2,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,6,,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,1,,2,006,00216,08608,2,32,17216
0808032,06,01,03,3,6,1,6,3,4,4,,,,,,1,1,1,3,2,1,2,2,1,2,2,2,,1,1,2,2,2,2,2,2,1,1,2,2,,1,,2,2,1,1,2,2,1,1,2,1,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,1,2,1,2,2,,2,,,,,,1,1,3,2,9,1,2,,,,,,2,,,,,2,,,,,2,,,,,,,1,2,2,1,2,2,2,2,2,,,,,,,,,,,2,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,4,,1,1,3,BANCO DE MEXICO,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,2,006,00216,08608,2,18,25824
0808032,08,01,01,1,2,1,8,3,1,,4,99999,,,7,1,1,1,3,3,2,1,1,1,1,2,2,,1,1,2,2,2,2,1,2,2,1,2,2,,2,,2,2,1,2,2,1,1,1,2,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,1,2,1,2,2,,2,,,,,,1,2,1,1,2,1,1,1,1,1,2,1,2,,,,,2,,,,,2,,,,,,,1,1,2,2,2,2,2,2,2,,,,,1,05,,,,,1,1,1,2,2,1,2,2,2,2,03,,,,,1,1,1,2,2,1,1,2,2,2,04,,,,,1,2,,,1,1,1,1,2,,2,,2,,,2,2,2,1,2,2,2,2,2,,1,,2,006,00216,08608,1,41,08608
0808032,07,01,02,2,5,1,4,3,1,,2,01000,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,1,2,2,,1,,1,2,1,2,2,2,1,2,1,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,1,1,1,1,2,2,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,1,02,,,,,2,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,4,,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,1,,2,006,00216,08608,2,44,25824
0808032,12,01,01,1,5,1,3,3,1,,4,01500,1,2,2,1,2,1,1,4,1,2,1,2,2,2,2,,2,,,,,,,,,,,,,1,,2,1,1,2,2,2,1,1,2,2,2,1,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,1,1,3,1,2,2,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,2,,1,,4,,2,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,3,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,2,006,00216,08608,1,44,25824
0808032,03,01,04,3,6,1,3,3,3,4,,,,,,1,1,1,1,3,2,2,1,1,2,2,2,,1,1,2,2,2,2,1,2,2,1,2,2,,1,,2,1,1,1,2,2,1,1,2,2,2,2,2,2,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,2,,2,,2,,2,,,2,2,2,1,2,2,2,1,2,,2,2,2,006,00216,08608,1,21,34432
0808032,18,01,02,2,5,1,8,5,1,,2,01500,2,1,3,1,1,1,1,2,1,2,2,1,2,2,2,,1,1,2,2,2,2,1,2,2,1,1,2,,1,,2,2,2,2,2,1,2,2,1,1,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,1,2,1,2,2,,2,,,,,,1,1,3,2,1,1,2,,,,,,2,,,,,2,,,,,2,,,,,,,1,2,2,1,2,2,2,2,2,,,,,,,,,,,2,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,4,,1,1,1,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,1,2,006,00216,08608,2,36,17216
0808032,14,01,01,1,5,1,3,2,1,,3,00850,1,1,1,1,2,1,1,3,2,1,2,1,2,2,2,,2,,,,,,,,,,,,,1,,2,2,2,2,2,1,2,1,2,1,2,2,2,2,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,1,1,2,2,,1,1,2,,,2,2,2,1,2,2,2,2,2,,2,2,2,006,00216,08608,1,39,17216
0808032,19,01,01,1,5,1,3,3,1,,2,01500,1,1,3,1,1,1,1,4,1,1,1,2,2,2,2,,1,2,2,2,1,2,2,2,2,1,1,2,,1,,1,2,1,2,2,2,1,1,2,2,2,2,2,2,,1,2,1,,,,,,,,,,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,1,1,2,,2,,,1,2,2,1,2,2,2,2,2,,2,2,2,006,00216,08608,1,46,17216
0860935,16,01,02,3,5,1,6,3,1,,2,03400,2,1,5,1,1,2,,2,2,1,2,2,1,2,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,2,1,2,2,2,2,1,1,2,1,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,2,,,1,02,,,,,2,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,3,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,1,4,012,00220,03351,1,38,06702
0801141,02,01,04,3,6,1,9,2,1,,2,03000,3,2,7,1,1,1,1,4,1,2,2,1,2,2,2,,2,,,,,,,,,,,,,1,,2,2,1,2,2,2,2,1,2,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,1,1,2,2,2,,1,1,2,1,1,1,1,1,2,1,1,1,2,,,,,,2,,,,,2,,,,,2,,,,,,,1,2,2,2,2,2,2,2,2,,2,,,2,,1,,1,,1,1,2,2,2,1,2,2,2,2,02,,,,,2,,,,,,,,,,,,,4,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,004,00194,06281,2,27,25218
0800745,03,01,01,1,5,1,8,5,1,,2,14000,3,1,2,1,1,2,,4,1,2,1,2,2,1,2,,2,,,,,,,,,,,,,1,,1,2,1,2,2,2,2,2,2,2,1,1,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,2,,2,,1,,1,,2,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,4,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,1,,1,003,00192,05755,1,38,11519
0806019,04,01,01,1,5,1,2,6,8,4,,,,,,2,,1,1,3,2,2,1,1,2,2,2,,2,,,,,,,,,,,,,1,,2,2,1,2,2,2,2,1,2,2,2,2,2,2,,1,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,1,,1,003,00211,04383,1,56,08773
0806019,01,01,01,1,6,1,8,4,1,,2,12000,3,2,5,1,1,1,1,1,1,1,2,1,2,1,2,,1,1,2,2,2,2,2,2,2,2,1,2,,1,,2,2,1,2,2,2,2,1,2,2,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,9,1,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,1,2,2,2,2,2,2,2,2,,1,2,,1,05,,,,,2,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,4,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,1,1,003,00211,04383,1,26,04386
0805194,02,01,02,2,5,1,3,3,6,4,,,,,,1,1,2,,5,1,2,2,2,1,2,2,,1,1,2,2,2,2,2,2,1,2,1,2,,1,,2,2,2,2,2,2,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,2,,1,01,,,,,1,1,2,2,2,2,2,2,2,2,,3,,,,2,,,,,,,,,,,,,4,,2,,,,1,2,2,,2,,2,,2,,,2,2,2,2,2,1,2,2,2,,2,1,1,002,00210,05030,2,60,10060
0807625,04,01,05,3,6,1,8,4,8,4,,,,,,1,1,1,3,5,1,2,2,2,1,2,2,,1,1,2,2,2,2,1,2,2,2,1,2,,2,,2,2,1,2,2,2,2,1,2,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,,,,,2,,,,,2,,,,,,,1,2,2,2,2,2,2,2,2,,2,,,1,05,,,,,1,1,1,1,2,1,1,2,2,2,04,,,,,2,,,,,,,,,,,,,4,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,1,1,004,00214,06557,2,21,32908
0805194,04,01,02,2,5,1,6,3,1,,2,01600,2,2,7,1,1,2,,5,1,2,1,1,1,2,2,,1,2,1,2,2,2,2,2,1,2,2,2,,1,,2,2,2,2,2,2,,,,,,,,,,2,2,1,,,,,,,,,,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,1,,1,002,00210,05030,2,28,10060
0805194,01,01,02,3,6,1,3,3,1,,2,02500,2,2,7,1,2,2,,5,1,1,1,1,2,1,2,,2,,,,,,,,,,,,,1,,2,2,2,2,2,2,,,,,,,,,,2,2,1,,,,,,,,,,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,002,00210,05030,1,33,10060
0807638,03,01,02,2,5,1,3,3,8,1,4,01000,3,2,2,1,1,1,2,2,1,2,1,1,2,1,2,,1,1,2,2,2,2,2,2,2,2,1,2,,1,,2,2,2,1,2,2,2,2,2,2,1,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,1,1,2,2,2,,2,,,,,,1,1,3,1,1,1,2,,,,,,2,,,,,2,,,,,2,,,,,,,2,2,2,2,1,2,2,2,2,,,,,1,02,,,,,2,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,2,,2,,,,1,2,1,2,2,,2,,2,,,1,2,2,1,2,2,2,2,2,,1,,1,002,00215,03418,2,35,06836
0807638,01,01,04,2,5,1,6,2,3,4,,,,,,1,1,1,1,4,1,2,1,1,1,1,2,,1,1,2,2,2,2,2,2,2,2,1,2,,1,,2,1,1,1,2,2,1,2,2,2,2,2,2,2,,2,2,2,1,,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,1,1,2,,2,,2,,,1,1,1,2,2,2,2,2,2,,1,,1,002,00215,03418,2,27,13672
0807638,02,01,02,2,1,1,4,1,1,,2,02600,1,1,2,1,2,2,,3,1,1,1,1,2,2,2,,2,,,,,,,,,,,,,1,,1,2,2,2,2,1,1,2,2,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,2,,1,05,,,,,2,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,4,,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,1,,1,002,00215,03418,1,52,06836
0806430,01,01,05,5,4,1,2,3,5,4,,,,,,1,2,1,1,4,2,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,2,2,2,2,2,2,,,,,,,,,,1,2,1,,,,,,,,,,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00212,06215,2,69,12440
0806430,03,01,01,1,2,1,2,6,1,,2,01000,1,2,1,1,2,2,,4,2,1,2,1,2,1,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,2,2,1,2,2,2,1,2,2,1,2,2,2,2,,2,2,1,,,,,,,,,,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00212,06215,2,44,06220
0806430,05,01,01,1,3,2,2,2,1,,2,00900,1,1,2,1,2,1,1,5,1,2,2,1,2,2,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,1,1,2,2,2,2,1,2,2,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,2,,1,01,,,,,2,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,6,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00212,06215,2,50,12440
0806430,02,01,01,1,5,1,3,3,1,,2,00900,1,1,2,1,1,1,2,3,2,1,1,1,2,1,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,1,2,1,2,2,2,1,2,2,2,2,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,2,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,2,,,1,01,,,,,2,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,2,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,1,1,003,00212,06215,1,26,12440
0807117,05,01,02,2,5,1,3,3,1,,2,00800,1,1,2,1,1,1,2,3,2,2,1,1,2,1,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,1,2,2,2,2,2,1,2,2,1,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,2,1,1,3,1,1,2,2,,,,,,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,2,,,2,,1,,4,,2,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,2,,2,,,,2,,2,,2,,1,1,2,,,2,2,1,2,2,2,2,2,2,,1,,1,003,00213,05080,2,31,10168
0806430,04,01,01,1,5,1,6,3,1,,2,03800,2,1,6,1,1,2,,3,1,2,1,1,1,2,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,1,2,2,1,2,2,1,2,2,1,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,1,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,1,1,2,1,2,2,2,2,2,,1,2,,2,,1,,4,,2,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,1,,2,,,,2,,2,,2,,1,1,2,,,2,2,2,2,1,2,2,2,2,,2,2,1,003,00212,06215,1,42,18659
0807117,03,01,03,3,1,1,3,3,1,,2,00800,1,1,2,1,1,2,,5,1,2,2,2,1,1,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,2,1,1,1,2,2,1,2,2,2,2,2,2,2,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,3,1,2,1,2,,,,,,2,,,,,,2,,,,,2,,,,,2,,,,,,,2,1,2,2,2,2,2,2,2,,2,,,1,05,,,,,2,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,2,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,1,003,00213,05080,1,20,15252
0805194,03,01,03,1,4,1,6,3,1,,2,01500,1,2,2,1,1,1,1,4,1,1,1,2,2,1,2,,1,2,2,2,1,2,1,2,1,2,2,2,,1,,2,2,2,1,2,2,2,2,2,2,1,2,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,1,1,2,1,2,1,2,,,,,,2,,,,,2,,,,,2,,,,,,,2,2,2,2,1,2,2,2,2,,,,,2,,1,,1,,2,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,3,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,1,1,002,00210,05030,2,56,20120
0808871,02,01,01,1,1,1,3,3,1,,2,00840,1,1,1,1,2,1,1,3,2,2,1,2,2,1,2,,2,,,,,,,,,,,,,1,,2,2,2,1,2,2,2,1,2,2,1,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,2,,2,,1,1,2,,,2,1,2,2,1,2,2,2,2,,1,,3,009,00217,04583,1,38,09170
0808871,04,01,01,1,5,1,2,6,1,,2,00800,1,1,7,1,1,1,1,5,2,1,1,2,2,2,2,,1,1,2,2,2,2,1,2,2,2,2,2,,1,,2,2,1,2,2,2,1,1,2,2,2,2,2,2,,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,,2,,2,,,,,,,,,,,,,2,2,3,009,00217,04583,1,27,09170
