UPM,VIV_SEL,HOGAR,R_SEL,TLOC,EST_DIS,UPM_DIS,FACTOR,SEXO,EDAD,FAC_PER,GRA,NIV,P3_1,P3_11,P3_2,P3_3,P3_5,P4_1,P4_3,P4_4_1,P4_4_2,P4_4_3,P4_4_4,P4_4_5,P4_4_6,P4_4_7,P4_5,P4_8,P5_1_1,P5_1_2,P5_1_3,P5_1_4,P5_1_5,P5_1_6,P5_3,P5_31,P5_4,P6_1_1,P6_1_2,P6_1_3,P6_1_4,P6_1_5,P6_4,P6_20,P7_1,P8_1,P9_1,P10_1,P10_17,P10_8,P11_1_1,P11_1_2,P11_1_3,P11_1_9,P12_1,P12_3_1,P12_3_2,P12_3_3,P12_3_4,P12_3_5,P12_3_6
100850,4,1,1,1,3,11,5945,1,30,11899,3,3,1,2,5,1,1,2,3,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2
100727,3,1,1,1,2,8,6268,2,55,18804,6,2,1,1,3,1,1,2,5,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2
100727,1,1,1,1,2,8,6268,2,56,12536,6,2,1,1,2,1,1,1,4,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
101499,5,1,4,1,2,18,5213,2,18,15639,5,2,5,1,6,1,5,2,4,1,1,2,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2
100679,1,1,3,1,4,7,6365,2,21,19166,3,6,3,1,6,1,8,2,5,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2
101302,2,1,1,1,4,17,5684,1,51,17116,3,8,1,1,5,1,1,2,2,2,2,1,2,1,2,2,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2
101302,4,1,1,1,4,17,5684,1,57,5705,3,6,1,2,5,1,1,1,3,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2
101302,5,1,3,1,4,17,5684,2,30,17116,3,6,3,1,6,1,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2
100462,2,1,1,1,3,6,5731,1,62,17206,5,8,1,2,5,1,6,2,4,2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2
100779,2,1,1,1,3,9,5984,1,59,5989,2,5,1,1,3,1,1,2,4,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,3,1,1,1,2,1,1,2,2,2,1,2,2,1,1,2,2,2
100461,5,1,2,1,3,5,5613,2,28,11235,3,3,2,1,5,1,5,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2
100893,2,1,2,1,4,12,6815,2,50,27362,5,8,2,1,5,1,1,1,3,2,2,1,1,1,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2
100461,1,1,2,1,3,5,5613,1,36,11235,4,8,3,1,6,1,1,2,3,1,1,2,1,2,2,2,1,1,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,3,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
101727,5,1,1,1,4,21,6940,1,26,13932,4,8,1,1,6,1,1,1,3,2,1,1,1,1,1,2,2,2,1,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,1,2,2,2
101727,2,1,1,1,4,21,6940,1,37,13932,2,9,1,1,5,1,1,1,3,1,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2
101727,1,1,1,1,4,21,6940,1,26,13932,3,3,1,1,5,1,1,1,3,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2
100850,2,1,1,1,3,11,5945,1,31,11899,3,3,1,1,5,1,1,1,3,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,1,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2
101499,2,1,1,1,2,18,5213,2,44,26065,3,3,1,1,5,1,1,2,4,1,1,2,1,1,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,3,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2
101908,5,1,1,1,2,24,11183,1,23,22366,6,2,1,1,1,1,1,2,4,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2
101908,3,1,1,1,2,24,11183,2,58,11183,3,2,1,1,3,1,1,1,4,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,3,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2
100779,4,1,1,1,3,9,5984,1,47,17966,3,6,1,1,5,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2
100815,1,1,4,1,3,10,5342,2,19,21384,3,6,3,1,6,1,4,2,3,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,3,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
100815,5,1,1,1,3,10,5342,2,44,10692,3,3,1,1,3,1,1,1,4,2,1,2,1,2,2,2,1,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1,2,1,2,1,2,2,2,2,1,1,2,2,2
100850,5,1,1,1,3,11,5945,1,49,11899,6,2,1,1,5,1,1,2,4,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1
101071,2,1,2,1,3,15,4794,2,21,14393,3,8,3,1,6,1,1,2,3,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2
100942,3,1,2,1,3,14,5274,2,40,10556,3,4,2,1,5,1,1,1,3,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2
100942,4,1,2,1,3,14,5274,2,28,10556,3,6,2,1,5,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2
100942,5,1,3,1,3,14,5274,2,25,15834,3,3,5,1,1,1,5,2,5,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
100779,5,1,2,1,3,9,5984,2,58,11977,3,4,2,1,5,1,6,2,3,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2
160084,13,1,3,4,12,28,4994,2,68,14982,0,0,2,2,5,2,5,2,5,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2
160084,14,1,2,4,12,28,4994,2,32,4994,3,3,1,1,1,1,5,2,5,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2
160084,16,1,2,4,12,28,4994,2,65,4994,6,2,2,2,5,1,5,2,5,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2
160084,15,1,1,4,12,28,4994,1,29,9988,3,3,1,1,5,1,1,2,2,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
160084,4,1,2,4,12,28,4994,2,38,9988,6,2,2,2,1,1,5,1,4,2,2,1,1,2,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2
160084,1,1,2,4,12,28,4994,2,39,9988,6,2,2,2,5,1,5,2,5,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
160084,2,1,1,4,12,28,4994,1,28,9988,5,2,1,1,1,1,1,2,5,2,2,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,1,1,1,2,2,2,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
160084,20,1,2,4,12,28,4994,2,28,9988,6,2,2,1,5,1,5,2,5,2,2,2,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2
160084,5,1,2,4,12,28,4994,2,36,9988,6,2,2,2,1,1,5,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2
160084,8,1,5,4,12,28,4994,1,22,24970,3,3,3,1,6,1,1,2,3,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2
160084,9,1,1,4,12,28,4994,1,65,9988,6,2,1,2,1,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1
160084,11,1,3,4,12,28,4994,2,37,29964,6,2,2,1,1,1,5,2,4,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
102125,9,1,2,2,5,25,5123,2,43,15447,2,6,2,2,5,1,5,1,4,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,9,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2
102125,6,1,2,2,5,25,5123,2,22,15447,4,8,5,1,6,1,4,2,3,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2
102125,13,1,1,2,5,25,5123,1,48,15447,1,6,1,1,5,1,1,2,5,1,2,1,1,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2
102125,15,1,1,2,5,25,5123,1,62,15447,3,3,1,1,5,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2
102125,17,1,2,2,5,25,5123,2,53,46341,3,3,2,1,5,1,5,2,5,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2
102125,8,1,2,2,5,25,5123,2,35,5149,2,6,1,1,5,1,1,2,3,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2
102125,8,2,1,2,5,25,5123,1,41,5149,3,3,1,1,5,1,1,2,4,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
102125,7,1,3,2,5,25,5123,2,23,15447,4,8,3,1,6,1,1,2,3,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2
102125,12,1,2,2,5,25,5123,2,51,36043,6,2,2,1,5,1,5,1,5,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
101908,2,1,2,1,2,24,11183,2,30,22366,3,3,2,1,1,1,5,1,3,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
101908,2,2,2,1,2,24,11183,2,30,22366,6,2,2,2,5,1,5,1,3,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
102125,10,1,1,2,5,25,5123,2,35,10298,3,6,1,1,4,1,5,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
102125,2,1,2,2,5,25,5123,2,45,15447,3,3,2,2,5,1,5,2,5,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2
102125,11,1,2,2,5,25,5123,2,43,10298,3,6,2,1,1,1,1,2,3,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1
102125,18,1,2,2,5,25,5123,2,42,15447,3,3,2,1,5,1,5,2,3,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1
102125,1,1,3,2,5,25,5123,2,20,15447,3,7,3,1,6,1,4,2,5,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,3,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2
100893,3,1,2,1,4,12,6815,2,29,20521,4,8,2,1,5,1,1,1,4,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
100779,1,1,2,1,3,9,5984,2,29,11977,4,8,2,1,5,1,3,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2
100942,1,1,3,1,3,14,5274,1,33,15834,3,6,3,1,6,1,1,2,3,2,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2
102125,20,1,1,2,5,25,5123,2,43,5149,3,6,1,1,6,1,1,2,1,2,1,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2
100815,3,1,1,1,3,10,5342,1,30,10692,2,8,1,1,5,1,1,1,4,2,2,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,3,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1,2
100679,2,1,3,1,4,7,6365,1,60,19166,3,6,2,1,5,1,1,2,4,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,3,1,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,2
102355,4,1,1,3,9,26,4221,1,34,8446,3,3,1,1,5,1,1,2,4,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2
102355,8,1,1,3,9,26,4221,2,41,12669,3,3,1,1,2,1,1,2,5,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
102355,9,1,5,3,9,26,4221,2,20,21115,2,8,3,1,5,1,1,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
102355,18,1,1,3,9,26,4221,1,46,4223,6,2,1,1,3,1,8,2,3,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2
102355,10,1,1,3,9,26,4221,1,30,8446,3,3,1,1,1,1,1,1,5,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1
102355,5,1,3,3,9,26,4221,2,21,12669,3,8,3,1,6,1,4,1,4,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2
102355,7,1,3,3,9,26,4221,2,22,21115,3,8,3,1,6,1,1,2,2,2,1,1,1,1,1,2,1,3,2,2,1,1,2,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2
102355,3,1,2,3,9,26,4221,2,54,12669,2,2,2,2,5,2,5,2,5,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
102355,11,1,2,3,9,26,4221,2,19,8446,1,3,2,1,1,1,1,2,3,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2
160050,2,1,1,4,12,27,4195,1,54,12585,0,0,1,2,6,2,8,2,5,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,1,1,2,1,2,2,2
160050,4,1,1,4,12,27,4195,1,40,8390,3,3,1,2,6,1,1,2,3,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
