UPM,VIV_SEL,HOGAR,N_REN,EDAD,SEXO,REGION,TLOC,EST_DIS,UPM_DIS,FAC_PER,GRA,NIV,P3_1,P3_12,P3_2,P3_3,P3_5,P4_1,P4_4_1,P4_4_2,P4_4_3,P4_4_4,P4_4_5,P4_4_6,P4_4_7,P4_5,P4_7,P4_8_1,P4_8_2,P4_8_3,P4_8_4,P4_9_1,P4_9_2,P4_9_3,P5_1_1,P5_1_2,P5_1_3,P5_1_4,P5_1_5,P5_1_6,P5_29,P5_3,P5_4,P6_18,P6_1_1,P6_1_2,P6_1_3,P6_1_4,P6_1_5,P6_3,P10_1,P10_13,P10_8,P11_1_1,P11_1_2,P11_1_3,P11_2_1,P11_2_2,P11_2_3,P11_2_4,P11_2_9,P12_1,P12_2,P12_3,P12_4,P13_1,P13_2_1,P13_2_2,P13_2_3,P13_2_4,P7_1_1,P7_1_2,P7_1_3,P7_1_4,P7_1_5,P7_1_6,P7_1_7,P8_1,P9_1,P9_9_1,P9_9_2,P9_9_3,P9_9_4,P9_9_5
100340,5,1,4,37,1,3,1,4,10,2566,3,3,3,1,1,1,3,2,2,1,2,2,2,1,2,1,2,2,1,3,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,2,1.0,3,1,2,2,2,2,1,1,9,9,1,1,1,2,1,1,1,2,1,2
100397,1,1,3,32,2,3,1,3,11,2685,5,2,3,2,6,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,0,0,0,0,1,2,2.0,3,2,2,2,2,2,1,2,9,9,1,1,9,2,9,1,1,2,2,2
100397,3,1,3,40,2,3,1,3,11,900,3,6,1,1,5,2,1,2,1,1,1,1,2,1,2,1,1,1,1,3,1,1,1,1,2,2,2,2,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,2,2.0,3,2,2,2,2,2,1,1,9,9,1,1,1,2,1,2,1,2,2,2
100397,4,1,1,34,2,3,1,3,11,2685,4,8,2,1,5,2,1,1,2,1,1,2,2,1,2,2,2,1,1,3,2,1,2,1,2,2,2,2,2,2,2,1,1,3,2,2,2,2,1,1,2,2,1,2,2,2,1,0,0,0,0,1,1,9.0,3,2,2,2,2,2,2,2,9,9,2,2,1,1,1,1,1,2,1,2
100397,5,1,2,42,2,3,1,3,11,1801,4,8,2,1,5,3,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,0,1,0,0,0,1,1,1.0,3,2,2,2,2,2,1,1,9,4,1,1,1,1,1,2,1,1,1,2
100446,1,1,4,20,1,3,1,3,12,3945,3,3,5,1,1,6,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,0,0,0,1,0,1,2,2.0,3,2,2,1,2,2,1,1,1,9,1,1,9,2,2,2,2,1,1,2
100446,2,1,3,25,1,3,1,3,12,2959,1,3,3,2,3,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,2,3.0,2,3,2,2,2,2,1,1,9,1,1,9,9,2,9,2,2,2,2,2
100446,3,1,3,37,1,3,1,3,12,3432,6,2,3,1,6,3,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,0,0,0,1,0,1,1,1.0,3,2,2,1,2,2,1,1,9,1,1,9,1,2,1,1,1,1,1,2
100446,4,1,2,57,2,3,1,3,12,2051,5,2,2,1,5,0,1,2,2,2,1,2,2,2,2,1,2,1,1,3,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,0,0,0,1,0,1,2,2.0,3,2,2,2,2,2,1,1,9,1,1,1,1,2,2,2,1,2,1,2
100446,5,1,2,32,2,3,1,3,12,1864,3,3,2,1,5,3,1,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0,0,1,1,2,1.0,2,2,2,2,2,2,1,1,1,9,1,1,9,2,2,1,9,2,1,2
