UPM,VIV_SEL,HOGAR,N_REN,SEXO,EDAD,REGION,TLOC,EST_DIS,UPM_DIS,FAC_HOG
100714,5,1,1,1,54,3,1,4,22,1090
100714,5,1,2,1,24,3,1,4,22,1090
100714,5,1,3,2,22,3,1,4,22,1090
100714,5,1,4,1,15,3,1,4,22,1090
100714,5,1,5,2,2,3,1,4,22,1090
100714,5,1,6,2,0,3,1,4,22,1090
100743,1,1,1,1,22,3,1,3,23,1096
100743,2,1,1,2,54,3,1,3,23,1096
100743,2,1,2,1,52,3,1,3,23,1096
100743,2,1,3,1,29,3,1,3,23,1096
100743,3,1,1,1,36,3,1,3,23,1096
100743,3,1,2,2,43,3,1,3,23,1096
100743,3,1,3,2,15,3,1,3,23,1096
100743,3,1,4,2,11,3,1,3,23,1096
100743,3,1,5,1,7,3,1,3,23,1096
100743,3,1,6,1,7,3,1,3,23,1096
100743,3,1,7,2,19,3,1,3,23,1096
100743,4,1,1,2,76,3,1,3,23,1096
100743,4,1,2,1,54,3,1,3,23,1096
100743,4,1,3,1,41,3,1,3,23,1096
100743,4,1,4,1,37,3,1,3,23,1096
100883,1,1,1,1,53,3,1,3,24,1077
100883,1,1,2,2,55,3,1,3,24,1077
100883,1,1,3,1,21,3,1,3,24,1077
100883,1,1,4,1,19,3,1,3,24,1077
100883,1,1,5,1,17,3,1,3,24,1077
100883,1,1,6,1,8,3,1,3,24,1077
100883,2,1,1,1,45,3,1,3,24,1077
100883,2,1,2,2,35,3,1,3,24,1077
100883,2,1,3,2,20,3,1,3,24,1077
100883,2,1,4,1,7,3,1,3,24,1077
100883,2,1,5,2,3,3,1,3,24,1077
100883,2,1,6,1,1,3,1,3,24,1077
100883,4,1,1,1,18,3,1,3,24,1077
100883,4,1,2,2,18,3,1,3,24,1077
100883,4,1,3,2,0,3,1,3,24,1077
100883,5,1,1,2,31,3,1,3,24,1077
100883,5,1,2,1,19,3,1,3,24,1077
100883,5,1,3,1,11,3,1,3,24,1077
100906,2,1,1,1,81,3,1,5,25,1495
100906,2,1,2,2,74,3,1,5,25,1495
100906,3,1,1,2,67,3,1,5,25,1495
100906,3,1,2,1,69,3,1,5,25,1495
100906,3,1,3,1,38,3,1,5,25,1495
100906,3,1,4,1,31,3,1,5,25,1495
100906,5,1,1,1,61,3,1,5,25,1495
100906,5,1,2,2,54,3,1,5,25,1495
100906,5,1,3,2,22,3,1,5,25,1495
100906,5,1,4,1,26,3,1,5,25,1495
100915,2,1,1,1,63,3,1,5,26,1469
100915,2,1,2,2,61,3,1,5,26,1469
100915,2,1,3,2,30,3,1,5,26,1469
100915,2,1,4,1,29,3,1,5,26,1469
100915,3,1,1,1,57,3,1,5,26,1469
100915,3,1,2,2,51,3,1,5,26,1469
100915,3,1,3,1,25,3,1,5,26,1469
100915,3,1,4,2,22,3,1,5,26,1469
100915,3,1,5,2,6,3,1,5,26,1469
100915,3,1,6,1,3,3,1,5,26,1469
100915,4,1,1,1,67,3,1,5,26,1469
100915,5,1,1,1,70,3,1,5,26,1469
100915,5,1,2,2,69,3,1,5,26,1469
100915,5,1,3,1,38,3,1,5,26,1469
100915,5,1,4,1,32,3,1,5,26,1469
100957,1,1,1,1,75,3,1,4,27,1227
100957,1,1,2,2,91,3,1,4,27,1227
100957,2,1,1,1,54,3,1,4,27,1227
100957,2,1,2,2,25,3,1,4,27,1227
100957,2,1,3,1,1,3,1,4,27,1227
100957,3,1,1,2,57,3,1,4,27,1227
100957,3,1,2,1,26,3,1,4,27,1227
100957,5,1,1,1,40,3,1,4,27,1227
100957,5,1,2,2,27,3,1,4,27,1227
100957,5,1,3,1,3,3,1,4,27,1227
100957,5,1,4,1,3,3,1,4,27,1227
100957,5,1,5,1,9,3,1,4,27,1227
100996,1,1,1,1,23,3,1,4,28,1185
100996,1,1,2,2,24,3,1,4,28,1185
100996,1,1,3,1,5,3,1,4,28,1185
100996,1,1,4,2,3,3,1,4,28,1185
100996,1,1,5,1,0,3,1,4,28,1185
100996,2,1,1,2,21,3,1,4,28,1185
