"VIV_SEL","HOGAR","P3_2","P3_5","P4_1","P4_5","P5_1_3","P5_1_4","P5_1_6","P5_1_5","P5_1_1","P5_1_2","P6_1_4","P6_1_3","P6_1_1","P6_1_2","P6_1_5","P9_1","P10_1","P11_3_1","P11_3_2","P11_3_4","P14_1","TLOC","SEXO","EDAD","EST_DIS","UPM_DIS","FOLIO","FAC_ELE","GRA","NIV","P10_4","N_REN","P3_11","P5_23","P6_2_2","P6_17","P8_1","P10_7","P11_3_9","P14_2_3","P14_2_2","P14_2_1","P14_2_4","EDICION","REGION"
4,1,5,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,57,4,17,3362005,5705,3,6,2,1,2,2,2,2,2,1,2,2,1,1,2,1,
5,1,6,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,30,4,17,3362005,17116,3,6,1,3,1,1,2,2,1,1,2,1,1,2,2,1,
2,1,5,6,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1,62,3,6,3361165,17206,5,8,1,1,2,1,2,2,1,2,2,2,2,2,2,1,
2,1,3,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,59,3,9,3361482,5989,2,5,1,1,1,2,1,3,1,1,1,2,1,1,2,1,
5,1,5,5,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,3,1,2,28,3,5,3361164,11235,3,3,2,2,1,2,2,1,2,1,1,2,2,2,2,1,
2,1,5,1,1,1,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,1,2,50,4,12,3361596,27362,5,8,1,2,1,2,1,2,1,2,2,2,1,1,2,1,
1,1,6,1,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,1,1,1,36,3,5,3361164,11235,4,8,2,2,1,1,2,3,2,2,2,2,2,2,2,1,
5,1,6,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,26,4,21,3362430,13932,4,8,1,1,1,2,1,2,1,1,2,2,1,1,2,1,
2,1,5,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,2,2,1,1,1,1,37,4,21,3362430,13932,2,9,1,1,1,1,1,2,2,1,2,2,1,1,2,1,
1,1,5,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,2,2,1,1,1,26,4,21,3362430,13932,3,3,1,1,1,2,1,1,2,2,2,2,2,1,2,1,
