"VIV_SEL","HOGAR","SEXO","EDAD","FOLIO","FAC_HOG","N_REN"
5,1,2,53,3361382,6365,2
5,1,1,24,3361382,6365,3
5,1,1,20,3361382,6365,4
5,1,2,19,3361382,6365,5
5,1,1,16,3361382,6365,6
5,1,2,14,3361382,6365,7
5,1,1,11,3361382,6365,8
5,1,1,10,3361382,6365,9
1,1,2,56,3361430,6268,1
1,1,2,18,3361430,6268,2
2,1,1,35,3361430,6268,1
2,1,2,25,3361430,6268,2
2,1,2,18,3361430,6268,3
2,1,2,14,3361430,6268,4
2,1,2,4,3361430,6268,5
2,1,1,1,3361430,6268,6
3,1,2,55,3361430,6268,1
3,1,1,31,3361430,6268,2
3,1,1,20,3361430,6268,3
4,1,1,65,3361430,6268,1
4,1,1,33,3361430,6268,2
4,1,1,42,3361430,6268,3
1,1,1,28,3361482,5984,1
1,1,2,29,3361482,5984,2
1,1,2,3,3361482,5984,3
2,1,1,59,3361482,5984,1
3,1,1,42,3361482,5984,1
3,1,2,39,3361482,5984,2
3,1,1,19,3361482,5984,3
3,1,2,14,3361482,5984,4
3,1,2,13,3361482,5984,5
4,1,1,47,3361482,5984,1
4,1,2,46,3361482,5984,2
4,1,1,19,3361482,5984,3
4,1,1,14,3361482,5984,4
4,1,2,11,3361482,5984,5
5,1,1,54,3361482,5984,1
5,1,2,58,3361482,5984,2
1,1,1,46,3361518,5342,1
1,1,2,46,3361518,5342,2
1,1,2,22,3361518,5342,3
1,1,2,19,3361518,5342,4
1,1,2,17,3361518,5342,5
1,1,1,6,3361518,5342,6
2,1,2,72,3361518,5342,1
2,1,1,50,3361518,5342,2
2,1,2,47,3361518,5342,3
2,1,2,45,3361518,5342,4
2,1,2,16,3361518,5342,5
2,1,1,11,3361518,5342,6
3,1,1,30,3361518,5342,1
3,1,2,33,3361518,5342,2
3,1,2,10,3361518,5342,3
3,1,2,1,3361518,5342,4
5,1,2,44,3361518,5342,1
5,1,1,19,3361518,5342,2
5,1,2,7,3361518,5342,3
2,1,1,31,3361553,5945,1
2,1,2,38,3361553,5945,2
2,1,2,7,3361553,5945,3
2,1,2,2,3361553,5945,4
2,1,2,0,3361553,5945,5
4,1,1,30,3361553,5945,1
4,1,2,30,3361553,5945,2
4,1,1,8,3361553,5945,3
4,1,1,5,3361553,5945,4
5,1,1,49,3361553,5945,1
5,1,2,44,3361553,5945,2
5,1,2,17,3361553,5945,3
5,1,1,14,3361553,5945,4
5,1,1,11,3361553,5945,5
2,1,1,55,3361596,6815,1
2,1,2,50,3361596,6815,2
2,1,2,23,3361596,6815,3
2,1,1,18,3361596,6815,4
3,1,1,35,3361596,6815,1
3,1,2,29,3361596,6815,2
3,1,1,4,3361596,6815,3
3,1,2,50,3361596,6815,4
4,1,1,32,3361596,6815,1
4,1,2,45,3361596,6815,2
5,1,1,34,3361596,6815,1
5,1,2,36,3361596,6815,2
1,1,1,48,3361628,5452,1
1,1,2,41,3361628,5452,2
1,1,1,19,3361628,5452,3
1,1,2,16,3361628,5452,4
1,1,2,16,3361628,5452,5
2,1,1,26,3361628,5452,1
2,1,2,26,3361628,5452,2
3,1,1,59,3361628,5452,1
3,1,2,64,3361628,5452,2
3,1,1,38,3361628,5452,3
3,1,2,15,3361628,5452,4
1,1,2,56,3361645,5274,1
1,1,2,90,3361645,5274,2
1,1,1,33,3361645,5274,3
1,1,1,38,3361645,5274,4
3,1,1,41,3361645,5274,1
3,1,2,40,3361645,5274,2
3,1,2,15,3361645,5274,3
3,1,2,12,3361645,5274,4
3,1,2,7,3361645,5274,5
4,1,1,33,3361645,5274,1
4,1,2,28,3361645,5274,2
4,1,1,6,3361645,5274,3
4,1,1,4,3361645,5274,4
5,1,2,48,3361645,5274,1
5,1,1,23,3361645,5274,2
5,1,2,25,3361645,5274,3
5,1,1,1,3361645,5274,4
5,1,1,0,3361645,5274,5
1,1,1,24,3361774,4794,1
1,1,2,26,3361774,4794,2
2,1,2,42,3361774,4794,1
2,1,2,21,3361774,4794,2
2,1,2,19,3361774,4794,3
2,1,2,12,3361774,4794,4
2,1,2,10,3361774,4794,5
3,1,1,53,3361774,4794,1
3,1,2,48,3361774,4794,2
3,1,2,25,3361774,4794,3
3,1,2,23,3361774,4794,4
3,1,1,21,3361774,4794,5
3,1,1,20,3361774,4794,6
3,1,1,33,3361774,4794,7
3,1,1,22,3361774,4794,8
3,1,2,7,3361774,4794,9
3,1,1,1,3361774,4794,10
3,1,1,1,3361774,4794,11
3,1,1,0,3361774,4794,12
5,1,1,61,3361774,4794,1
5,1,2,62,3361774,4794,2
1,1,1,70,3361890,6096,1
1,1,2,44,3361890,6096,2
2,1,1,36,3361890,6096,1
2,1,2,36,3361890,6096,2
2,1,2,15,3361890,6096,3
3,1,1,27,3361890,6096,1
3,1,2,28,3361890,6096,2
3,1,1,14,3361890,6096,3
3,1,2,13,3361890,6096,4
3,1,1,7,3361890,6096,5
3,1,2,4,3361890,6096,6
4,1,1,27,3361890,6096,1
4,1,2,31,3361890,6096,2
5,1,1,41,3361890,6096,1
5,1,2,33,3361890,6096,2
5,1,2,12,3361890,6096,3
5,1,2,8,3361890,6096,4
1,1,1,54,3362005,5684,1
1,1,2,48,3362005,5684,2
1,1,1,9,3362005,5684,3
2,1,1,51,3362005,5684,1
2,1,2,48,3362005,5684,2
2,1,2,24,3362005,5684,3
3,1,1,39,3362005,5684,1
3,1,2,35,3362005,5684,2
3,1,1,10,3362005,5684,3
3,1,2,7,3362005,5684,4
4,1,1,57,3362005,5684,1
5,1,2,52,3362005,5684,1
5,1,2,32,3362005,5684,2
5,1,2,30,3362005,5684,3
5,1,1,11,3362005,5684,4
5,1,1,8,3362005,5684,5
2,1,2,44,3362202,5213,1
2,1,1,42,3362202,5213,2
2,1,1,28,3362202,5213,3
2,1,1,26,3362202,5213,4
2,1,2,20,3362202,5213,5
2,1,2,15,3362202,5213,6
2,1,2,13,3362202,5213,7
2,1,2,12,3362202,5213,8
3,1,2,69,3362202,5213,1
3,1,1,26,3362202,5213,2
3,1,2,16,3362202,5213,3
4,1,1,27,3362202,5213,1
4,1,2,28,3362202,5213,2
4,1,2,1,3362202,5213,3
4,1,2,0,3362202,5213,4
5,1,1,40,3362202,5213,1
5,1,2,43,3362202,5213,2
5,1,2,15,3362202,5213,3
5,1,2,18,3362202,5213,4
1,1,2,45,3362301,6541,1
1,1,1,26,3362301,6541,2
1,1,2,21,3362301,6541,3
1,1,2,17,3362301,6541,4
1,1,1,9,3362301,6541,5
1,1,2,2,3362301,6541,6
1,1,2,0,3362301,6541,7
2,1,1,46,3362301,6541,1
2,1,1,21,3362301,6541,2
2,1,2,43,3362301,6541,3
2,1,2,17,3362301,6541,4
2,1,2,8,3362301,6541,5
2,1,1,71,3362301,6541,6
3,1,1,53,3362301,6541,1
3,1,2,48,3362301,6541,2
3,1,1,26,3362301,6541,3
3,1,2,25,3362301,6541,4
3,1,2,3,3362301,6541,5
3,1,2,0,3362301,6541,6
5,1,1,24,3362301,6541,1
5,1,2,28,3362301,6541,2
5,1,2,69,3362301,6541,3
5,1,1,6,3362301,6541,4
5,1,1,3,3362301,6541,5
5,1,2,0,3362301,6541,6
1,1,2,43,3362330,4767,1
1,1,2,22,3362330,4767,2
1,1,2,20,3362330,4767,3
1,1,1,25,3362330,4767,4
1,1,1,3,3362330,4767,5
2,1,1,24,3362330,4767,1
2,1,2,22,3362330,4767,2
2,1,2,6,3362330,4767,3
2,1,1,1,3362330,4767,4
3,1,1,85,3362330,4767,1
3,1,2,75,3362330,4767,2
3,1,2,35,3362330,4767,3
3,1,2,11,3362330,4767,4
4,1,2,50,3362330,4767,1
4,1,2,21,3362330,4767,2
4,1,1,3,3362330,4767,3
1,1,1,26,3362430,6940,1
1,1,2,27,3362430,6940,2
1,1,1,5,3362430,6940,3
1,1,1,4,3362430,6940,4
2,1,1,37,3362430,6940,1
2,1,2,37,3362430,6940,2
2,1,1,4,3362430,6940,3
2,1,1,3,3362430,6940,4
2,1,1,0,3362430,6940,5
3,1,1,69,3362430,6940,1
3,1,2,65,3362430,6940,2
4,1,1,34,3362430,6940,1
4,1,2,32,3362430,6940,2
4,1,1,8,3362430,6940,3
4,1,2,7,3362430,6940,4
4,1,1,2,3362430,6940,5
5,1,1,26,3362430,6940,1
5,1,2,20,3362430,6940,2
1,1,1,33,3362545,6032,1
1,1,2,33,3362545,6032,2
1,1,1,13,3362545,6032,3
1,1,2,12,3362545,6032,4
1,1,2,8,3362545,6032,5
1,1,1,6,3362545,6032,6
2,1,2,39,3362545,6032,1
2,1,1,14,3362545,6032,2
3,1,2,23,3362545,6032,1
3,1,1,8,3362545,6032,2
3,1,1,6,3362545,6032,3
3,1,2,4,3362545,6032,4
4,1,2,65,3362545,6032,1
4,1,2,34,3362545,6032,2
4,1,1,16,3362545,6032,3
4,1,1,6,3362545,6032,4
5,1,1,41,3362545,6032,1
5,1,2,37,3362545,6032,2
5,1,1,17,3362545,6032,3
5,1,2,16,3362545,6032,4
5,1,2,11,3362545,6032,5
5,1,2,8,3362545,6032,6
5,1,2,8,3362545,6032,7
2,1,1,37,3362604,6259,1
2,1,2,40,3362604,6259,2
2,1,1,17,3362604,6259,3
2,1,1,11,3362604,6259,4
2,1,1,10,3362604,6259,5
2,1,1,3,3362604,6259,6
4,1,1,32,3362604,6259,1
4,1,2,28,3362604,6259,2
4,1,1,8,3362604,6259,3
4,1,1,7,3362604,6259,4
4,1,1,5,3362604,6259,5
5,1,1,31,3362604,6259,1
5,1,2,30,3362604,6259,2
5,1,1,9,3362604,6259,3
5,1,2,5,3362604,6259,4
1,1,1,46,3362611,11183,1
1,1,2,45,3362611,11183,2
1,1,2,2,3362611,11183,3
1,1,2,24,3362611,11183,4
2,1,1,27,3362611,11183,1
2,1,2,30,3362611,11183,2
2,1,1,7,3362611,11183,3
2,1,1,5,3362611,11183,4
2,1,1,3,3362611,11183,5
2,2,1,26,3362611,11183,1
2,2,2,30,3362611,11183,2
2,2,1,4,3362611,11183,3
2,2,1,3,3362611,11183,4
2,2,2,0,3362611,11183,5
3,1,2,58,3362611,11183,1
3,1,2,17,3362611,11183,2
5,1,1,23,3362611,11183,1
5,1,2,21,3362611,11183,2
5,1,1,2,3362611,11183,3
5,1,1,0,3362611,11183,4
1,1,1,50,3362828,5123,1
1,1,2,49,3362828,5123,2
1,1,2,20,3362828,5123,3
1,1,1,15,3362828,5123,4
2,1,1,46,3362828,5123,1
2,1,2,45,3362828,5123,2
2,1,1,22,3362828,5123,3
2,1,2,16,3362828,5123,4
2,1,2,12,3362828,5123,5
2,1,1,9,3362828,5123,6
2,1,2,2,3362828,5123,7
3,1,1,60,3362828,5123,1
3,1,2,65,3362828,5123,2
5,1,2,73,3362828,5123,1
5,1,2,48,3362828,5123,2
5,1,2,39,3362828,5123,3
5,1,2,28,3362828,5123,4
6,1,2,60,3362828,5123,1
6,1,2,22,3362828,5123,2
6,1,2,18,3362828,5123,3
7,1,1,47,3362828,5123,1
7,1,2,45,3362828,5123,2
7,1,2,23,3362828,5123,3
7,1,1,16,3362828,5123,4
7,1,1,10,3362828,5123,5
8,1,2,15,3362828,5123,1
8,1,2,35,3362828,5123,2
8,2,1,41,3362828,5123,1
9,1,1,44,3362828,5123,1
9,1,2,43,3362828,5123,2
9,1,1,22,3362828,5123,3
9,1,2,16,3362828,5123,4
9,1,1,11,3362828,5123,5
10,1,2,35,3362828,5123,1
10,1,1,10,3362828,5123,2
10,1,2,5,3362828,5123,3
10,1,2,62,3362828,5123,4
11,1,1,49,3362828,5123,1
11,1,2,43,3362828,5123,2
11,1,1,14,3362828,5123,3
11,1,2,8,3362828,5123,4
11,1,2,6,3362828,5123,5
12,1,1,55,3362828,5123,1
12,1,2,51,3362828,5123,2
12,1,2,27,3362828,5123,3
12,1,1,23,3362828,5123,4
12,1,1,22,3362828,5123,5
12,1,2,21,3362828,5123,6
12,1,2,19,3362828,5123,7
12,1,1,1,3362828,5123,8
13,1,1,48,3362828,5123,1
13,1,2,43,3362828,5123,2
13,1,1,19,3362828,5123,3
13,1,1,13,3362828,5123,4
13,1,2,4,3362828,5123,5
15,1,1,62,3362828,5123,1
15,1,2,47,3362828,5123,2
15,1,1,23,3362828,5123,3
16,1,1,33,3362828,5123,1
16,1,2,28,3362828,5123,2
16,1,2,7,3362828,5123,3
16,1,1,2,3362828,5123,4
17,1,1,51,3362828,5123,1
17,1,2,53,3362828,5123,2
17,1,1,33,3362828,5123,3
17,1,1,31,3362828,5123,4
17,1,2,29,3362828,5123,5
17,1,1,25,3362828,5123,6
17,1,2,23,3362828,5123,7
17,1,2,21,3362828,5123,8
17,1,2,19,3362828,5123,9
17,1,2,90,3362828,5123,10
18,1,1,39,3362828,5123,1
18,1,2,42,3362828,5123,2
18,1,1,21,3362828,5123,3
18,1,2,17,3362828,5123,4
18,1,1,7,3362828,5123,5
18,1,1,7,3362828,5123,6
20,1,2,43,3362828,5123,1
20,1,2,12,3362828,5123,2
20,1,2,7,3362828,5123,3
1,1,2,50,3363058,4221,2
1,1,2,18,3363058,4221,3
1,1,1,8,3363058,4221,4
2,1,2,89,3363058,4221,1
2,1,1,43,3363058,4221,2
2,1,2,36,3363058,4221,3
2,1,1,11,3363058,4221,4
2,1,2,8,3363058,4221,5
2,1,1,8,3363058,4221,6
3,1,1,64,3363058,4221,1
3,1,2,54,3363058,4221,2
3,1,1,21,3363058,4221,3
3,1,2,5,3363058,4221,4
4,1,1,34,3363058,4221,1
4,1,2,35,3363058,4221,2
4,1,1,13,3363058,4221,3
4,1,1,8,3363058,4221,4
4,1,1,1,3363058,4221,5
5,1,1,53,3363058,4221,1
5,1,2,44,3363058,4221,2
5,1,2,21,3363058,4221,3
5,1,1,13,3363058,4221,4
7,1,1,42,3363058,4221,1
7,1,2,40,3363058,4221,2
7,1,2,22,3363058,4221,3
7,1,1,20,3363058,4221,4
7,1,1,19,3363058,4221,5
7,1,2,9,3363058,4221,6
8,1,2,41,3363058,4221,1
8,1,2,23,3363058,4221,2
8,1,2,23,3363058,4221,3
8,1,1,15,3363058,4221,4
8,1,1,9,3363058,4221,5
8,1,2,4,3363058,4221,6
9,1,1,50,3363058,4221,1
9,1,2,50,3363058,4221,2
9,1,2,58,3363058,4221,3
9,1,1,23,3363058,4221,4
9,1,2,20,3363058,4221,5
10,1,1,30,3363058,4221,1
10,1,2,30,3363058,4221,2
10,1,1,16,3363058,4221,3
10,1,2,14,3363058,4221,4
10,1,2,11,3363058,4221,5
11,1,1,22,3363058,4221,1
11,1,2,19,3363058,4221,2
11,1,2,3,3363058,4221,3
12,1,1,70,3363058,4221,1
12,1,2,61,3363058,4221,2
12,1,2,20,3363058,4221,3
12,1,1,26,3363058,4221,4
12,1,2,26,3363058,4221,5
13,1,2,62,3363058,4221,1
14,1,1,52,3363058,4221,1
14,1,2,51,3363058,4221,2
14,1,2,25,3363058,4221,3
15,1,1,71,3363058,4221,1
15,1,2,69,3363058,4221,2
15,1,2,35,3363058,4221,3
15,1,2,27,3363058,4221,4
16,1,1,40,3363058,4221,1
16,1,2,41,3363058,4221,2
16,1,2,79,3363058,4221,3
16,1,1,18,3363058,4221,4
16,1,2,13,3363058,4221,5
16,1,2,3,3363058,4221,6
17,1,1,53,3363058,4221,1
17,1,2,47,3363058,4221,2
17,1,2,24,3363058,4221,3
17,1,2,20,3363058,4221,4
17,1,2,14,3363058,4221,5
17,1,1,6,3363058,4221,6
17,1,1,1,3363058,4221,7
18,1,1,46,3363058,4221,1
18,1,1,10,3363058,4221,2
18,1,2,9,3363058,4221,3
19,1,1,27,3363058,4221,1
19,1,2,24,3363058,4221,2
19,1,2,5,3363058,4221,3
20,1,1,25,3363058,4221,1
20,1,2,24,3363058,4221,2
20,1,1,7,3363058,4221,3
20,1,2,2,3363058,4221,4
1,1,1,44,3420753,4195,1
1,1,2,29,3420753,4195,2
1,1,2,9,3420753,4195,3
1,1,2,3,3420753,4195,4
2,1,1,54,3420753,4195,1
2,1,1,46,3420753,4195,2
2,1,2,44,3420753,4195,3
2,1,1,9,3420753,4195,4
2,1,2,7,3420753,4195,5
3,1,1,87,3420753,4195,1
3,1,2,86,3420753,4195,2
3,1,2,58,3420753,4195,3
4,1,1,40,3420753,4195,1
4,1,1,54,3420753,4195,2
5,1,2,59,3420753,4195,1
6,1,1,56,3420753,4195,1
6,1,2,55,3420753,4195,2
6,1,1,28,3420753,4195,3
6,1,1,24,3420753,4195,4
7,1,1,35,3420753,4195,1
7,1,2,31,3420753,4195,2
7,1,1,8,3420753,4195,3
7,1,2,6,3420753,4195,4
8,1,1,27,3420753,4195,1
8,1,2,22,3420753,4195,2
8,1,1,5,3420753,4195,3
9,1,1,68,3420753,4195,1
9,1,2,62,3420753,4195,2
9,1,2,34,3420753,4195,3
9,1,1,22,3420753,4195,4
9,1,2,9,3420753,4195,5
10,1,1,82,3420753,4195,1
10,1,2,72,3420753,4195,2
10,1,2,39,3420753,4195,3
11,1,1,87,3420753,4195,1
11,1,1,51,3420753,4195,2
11,1,2,20,3420753,4195,3
11,1,2,4,3420753,4195,4
12,1,1,34,3420753,4195,1
12,1,2,29,3420753,4195,2
12,1,1,2,3420753,4195,3
13,1,1,52,3420753,4195,1
13,1,2,48,3420753,4195,2
13,1,1,27,3420753,4195,3
13,1,2,26,3420753,4195,4
13,1,1,23,3420753,4195,5
13,1,2,19,3420753,4195,6
13,1,2,14,3420753,4195,7
13,1,1,23,3420753,4195,8
13,1,2,16,3420753,4195,9
14,1,1,54,3420753,4195,1
14,1,2,55,3420753,4195,2
14,1,1,28,3420753,4195,3
14,1,1,30,3420753,4195,4
14,1,2,25,3420753,4195,5
14,1,1,24,3420753,4195,6
14,1,1,22,3420753,4195,7
14,1,2,6,3420753,4195,8
14,1,2,0,3420753,4195,9
15,1,1,45,3420753,4195,1
15,1,2,42,3420753,4195,2
15,1,1,20,3420753,4195,3
15,1,2,19,3420753,4195,4
16,1,1,35,3420753,4195,1
16,1,2,35,3420753,4195,2
16,1,2,14,3420753,4195,3
16,1,1,10,3420753,4195,4
17,1,1,40,3420753,4195,1
17,1,2,40,3420753,4195,2
17,1,2,5,3420753,4195,3
17,1,2,3,3420753,4195,4
17,1,2,1,3420753,4195,5
18,1,2,52,3420753,4195,1
18,1,2,22,3420753,4195,2
18,1,2,23,3420753,4195,3
18,1,1,22,3420753,4195,4
18,1,1,5,3420753,4195,5
18,1,2,4,3420753,4195,6
19,1,1,37,3420753,4195,1
19,1,2,34,3420753,4195,2
19,1,1,16,3420753,4195,3
19,1,1,12,3420753,4195,4
19,1,2,5,3420753,4195,5
20,1,1,29,3420753,4195,1
20,1,2,28,3420753,4195,2
20,1,2,7,3420753,4195,3
20,1,2,1,3420753,4195,4
1,1,1,40,3420787,4994,1
1,1,2,39,3420787,4994,2
1,1,2,11,3420787,4994,3
1,1,2,7,3420787,4994,4
1,1,2,5,3420787,4994,5
2,1,1,28,3420787,4994,1
2,1,2,26,3420787,4994,2
2,1,1,2,3420787,4994,3
2,1,1,0,3420787,4994,4
4,1,1,38,3420787,4994,1
4,1,2,38,3420787,4994,2
4,1,2,13,3420787,4994,3
4,1,2,6,3420787,4994,4
4,1,1,1,3420787,4994,5
5,1,1,36,3420787,4994,1
5,1,2,36,3420787,4994,2
5,1,1,14,3420787,4994,3
5,1,1,9,3420787,4994,4
5,1,2,1,3420787,4994,5
7,1,2,39,3420787,4994,1
7,1,2,20,3420787,4994,2
7,1,1,13,3420787,4994,3
7,1,2,11,3420787,4994,4
8,1,1,65,3420787,4994,1
8,1,2,59,3420787,4994,2
8,1,1,26,3420787,4994,3
8,1,1,24,3420787,4994,4
8,1,1,22,3420787,4994,5
9,1,1,65,3420787,4994,1
9,1,2,55,3420787,4994,2
10,1,1,42,3420787,4994,1
10,1,2,49,3420787,4994,2
10,1,2,9,3420787,4994,3
11,1,1,38,3420787,4994,1
11,1,2,67,3420787,4994,2
11,1,2,37,3420787,4994,3
11,1,1,35,3420787,4994,4
11,1,2,42,3420787,4994,5
11,1,1,28,3420787,4994,6
11,1,2,13,3420787,4994,7
11,1,2,10,3420787,4994,8
11,1,1,8,3420787,4994,9
11,1,2,7,3420787,4994,10
12,1,1,29,3420787,4994,1
12,1,2,24,3420787,4994,2
12,1,2,7,3420787,4994,3
12,1,2,4,3420787,4994,4
13,1,1,71,3420787,4994,1
13,1,2,40,3420787,4994,2
13,1,2,68,3420787,4994,3
13,1,2,24,3420787,4994,4
13,1,1,12,3420787,4994,5
14,1,2,32,3420787,4994,2
14,1,1,11,3420787,4994,3
15,1,1,29,3420787,4994,1
15,1,2,29,3420787,4994,2
15,1,2,12,3420787,4994,3
15,1,1,9,3420787,4994,4
15,1,2,2,3420787,4994,5
16,1,1,73,3420787,4994,1
16,1,2,65,3420787,4994,2
17,1,1,46,3420787,4994,1
17,1,2,42,3420787,4994,2
17,1,1,15,3420787,4994,3
17,1,2,10,3420787,4994,4
20,1,1,32,3420787,4994,1
20,1,2,28,3420787,4994,2
20,1,1,8,3420787,4994,3
20,1,1,0,3420787,4994,4
1,1,2,45,3460773,5803,1
1,1,2,73,3460773,5803,2
1,1,2,22,3460773,5803,3
1,1,2,20,3460773,5803,4
2,1,1,46,3460773,5803,1
2,1,2,41,3460773,5803,2
2,1,1,16,3460773,5803,3
3,1,1,48,3460773,5803,1
3,1,2,74,3460773,5803,2
4,1,1,38,3460773,5803,1
4,1,2,70,3460773,5803,2
5,1,2,60,3460773,5803,1
5,1,1,60,3460773,5803,2
2,1,1,55,3461340,6762,1
2,1,2,52,3461340,6762,2
2,1,2,30,3461340,6762,3
2,1,2,13,3461340,6762,4
2,1,2,7,3461340,6762,5
2,1,1,1,3461340,6762,6
2,1,1,30,3461340,6762,7
3,1,1,73,3461340,6762,1
3,1,2,42,3461340,6762,2
3,1,1,21,3461340,6762,3
3,1,1,15,3461340,6762,4
4,1,1,33,3461340,6762,1
4,1,2,33,3461340,6762,2
4,1,1,14,3461340,6762,3
4,1,2,13,3461340,6762,4
4,1,2,9,3461340,6762,5
4,1,1,6,3461340,6762,6
1,1,1,39,3461409,5772,1
1,1,2,30,3461409,5772,2
1,1,1,45,3461409,5772,3
1,1,2,11,3461409,5772,4
1,1,1,2,3461409,5772,5
2,1,2,69,3461409,5772,1
2,1,2,32,3461409,5772,2
2,1,1,12,3461409,5772,3
2,1,1,9,3461409,5772,4
2,1,1,4,3461409,5772,5
3,1,1,35,3461409,5772,1
3,1,2,37,3461409,5772,2
3,1,1,15,3461409,5772,3
3,1,1,12,3461409,5772,4
3,1,2,6,3461409,5772,5
4,1,1,75,3461409,5772,1
4,1,1,77,3461409,5772,2
4,1,1,20,3461409,5772,3
4,1,2,32,3461409,5772,4
4,1,2,15,3461409,5772,5
5,1,1,52,3461409,5772,1
5,1,1,16,3461409,5772,2
1,1,1,50,3461705,5288,1
1,1,1,22,3461705,5288,2
1,1,2,20,3461705,5288,3
2,1,2,46,3461705,5288,1
2,1,1,17,3461705,5288,2
2,1,1,7,3461705,5288,3
3,1,2,86,3461705,5288,1
3,1,1,69,3461705,5288,2
3,1,1,51,3461705,5288,3
3,1,1,52,3461705,5288,4
4,1,2,69,3461705,5288,1
4,1,1,32,3461705,5288,2
5,1,2,47,3461705,5288,1
5,1,2,21,3461705,5288,2
5,1,2,13,3461705,5288,3
5,1,2,11,3461705,5288,4
5,1,2,5,3461705,5288,5
1,1,2,51,3461711,4766,1
2,1,1,64,3461711,4766,1
2,1,2,62,3461711,4766,2
3,1,2,71,3461711,4766,1
3,1,2,46,3461711,4766,2
3,1,1,12,3461711,4766,3
4,1,1,31,3461711,4766,1
4,1,2,28,3461711,4766,2
4,1,2,4,3461711,4766,3
5,1,2,37,3461711,4766,1
5,1,2,73,3461711,4766,2
5,1,2,21,3461711,4766,3
5,1,2,20,3461711,4766,4
5,1,2,17,3461711,4766,5
5,1,1,11,3461711,4766,6
5,1,1,6,3461711,4766,7
5,1,1,47,3461711,4766,8
1,1,2,56,3461780,4877,1
2,1,1,43,3461780,4877,1
2,1,2,38,3461780,4877,2
2,1,2,17,3461780,4877,3
2,1,2,13,3461780,4877,4
2,1,2,12,3461780,4877,5
3,1,1,45,3461780,4877,1
3,1,2,46,3461780,4877,2
3,1,2,21,3461780,4877,3
3,1,1,16,3461780,4877,4
3,1,1,1,3461780,4877,5
4,1,1,40,3461780,4877,1
4,1,2,49,3461780,4877,2
4,1,1,10,3461780,4877,3
4,1,1,18,3461780,4877,4
5,1,2,25,3461780,4877,1
1,1,1,32,3462792,6507,1
1,1,2,25,3462792,6507,2
