FOLIO,VIV_SEL,HOGAR,N_REN,P3_1_1,P3_1_2,P3_2,P3_3,P3_4,P3_5,P3_11,P4_1,P4_2_1,P4_2_2,P4_2_3,P4_2_4,P4_2_5,P4_3,P4_5,P4_6_1,P4_6_2,P4_6_3,P4_6_4,P4_6_5,P4_6_6,P4_7_1,P4_7_2,P4_7_3,P4_8_1,P4_8_2,P4_8_3,P4_8_4,P4_8_5,P4_8_6,P4_9_1,P4_9_2,P4_9_3,P4_9_4,P4_10,P5_1_1,P5_1_2,P5_1_3,P5_1_4,P5_1_5,P5_1_6,P5_4_1,P5_4_2,P5_4_3,P5_4_4,P5_4_5,P5_4_6,P5_4_7,P5_4_8,P5_4_9,P5_23,P6_1_1,P6_1_2,P6_1_3,P6_1_4,P6_1_5,P6_2_1,P6_2_2,P6_2_3,P6_2_4,P6_2_5,P6_2_6,P6_2_7,P6_2_8,P6_2_9,P6_17,P7_1_1,P7_1_2,P7_2,P7_4,P7_5,P7_7_1,P7_8_1_1,P7_8_1_2,P7_8_1_3,P7_7_2,P7_8_2_1,P7_8_2_2,P7_8_2_3,P7_7_3,P7_7_4,P8_1,P8_2,P8_3,P9_1,P9_8_1,P9_8_2,P9_8_3,P9_8_4,P9_8_5,P9_8_6,P10_1,P10_4,P10_7,P11_1_1,P11_1_2,P11_1_3,P11_1_4,P11_1_5,P11_2_1,P11_2_2,P11_2_3,P11_2_4,P11_3_1,P11_3_2,P11_3_3,P11_3_4,P11_3_9,P12_1,P13_1,P13_2,P13_3,P13_4,P14_1,P14_2_1,P14_2_2,P14_2_3,P14_2_4,TLOC,REGION,SEXO,EDAD,EST_DIS,UPM_DIS,FAC_ELE
6633,10,1,3,0,0,4,1,1,5,2,2,2,1,2,2,2,1,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,2,2,2,2.0,2.0,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,9,1,2,2,2,2,3,3,2,68,103,1051,8707
6634,11,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,3,3,3,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,7,7,9,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,2.0,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,3,3,1,2,2,2,2,3,3,2,62,103,1051,2902
6635,13,1,1,3,3,5,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,2,2,3,1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,2.0,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,3,2,1,1,1,2,3,3,1,58,103,1051,8468
6636,14,1,2,6,3,2,2,2,5,2,2,2,1,2,2,2,1,2,3,1,1,3,1,3,1,2,2,1,1,3,3,3,3,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,2,2,2,,,,2,,,,2,2,2,2.0,2.0,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,9,9,9,9,3,2,2,2,2,3,3,2,46,103,1051,5805
6637,16,1,3,6,3,6,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,3,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,1,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,2,1,2,2.0,2.0,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,9,3,2,3,1,2,2,2,2,3,3,1,25,103,1051,8468
6638,17,2,1,6,3,1,2,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1,2,1,1,1,1,3,3,3,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,3,2,1,2,1,2.0,2.0,1.0,2,,,,1,1,1,,,9,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,9,9,9,2,2,2,2,2,3,3,1,26,103,1051,5645
6638,17,1,1,6,3,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,3,2,1,1,2,1,2,1,2,1,1,1,1,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,2,,,,2,,,,2,2,2,2.0,2.0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,9,9,3,1,1,1,2,2,3,3,1,51,103,1051,2823
6639,18,1,1,3,3,4,2,2,6,1,2,2,1,1,2,2,2,2,1,1,1,1,3,3,1,1,1,1,1,1,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,7,7,2,2,2,1,2.0,2.0,1.0,2,,,,1,1,2,2.0,1.0,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,3,9,3,1,2,2,2,2,3,3,1,65,103,1051,2823
6640,19,1,1,2,3,6,2,2,7,2,2,2,2,2,2,2,1,2,2,1,3,2,2,3,2,1,2,1,1,3,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,9,2,1,2,,,,2,,,,2,2,2,2.0,2.0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,1,1,1,2,2,3,3,2,66,103,1051,2902
6641,20,1,2,6,3,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,1,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,1.0,1,1,2,1,2,1,2,1,2,2,2,2,2,2,9,2,2,2,2,1,2,2,2,2,1,1,2,1,3,2,2,2,2,2,3,3,2,31,103,1051,5805
6642,1,1,3,3,3,6,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,3,2,3,1,1,1,1,1,2,1,3,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,7,7,1,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,2,2,2,2.0,2.0,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,3,2,3,2,2,2,2,2,4,3,1,23,104,1052,9365
6643,2,1,2,4,3,5,2,2,1,1,2,2,1,2,2,2,2,2,1,1,3,1,2,3,1,1,2,1,2,1,3,3,3,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,7,7,1,2,1,1,2.0,2.0,1.0,2,,,,1,1,2,2.0,2.0,2,9,2,2,1,1,2,2,2,2,1,9,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,3,1,2,2,2,2,4,3,2,54,104,1052,9630
6644,4,1,1,3,1,6,2,1,1,1,2,2,2,1,2,2,2,2,2,2,3,2,2,3,1,1,1,2,1,3,2,3,3,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,2.0,2,1,9,2,1,1,2,2,1,1,1,2,1,9,9,2,2,2,2,2,2,2,2,1,1,1,9,9,3,1,2,2,2,2,4,3,1,26,104,1052,3122
6645,5,1,4,0,0,6,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,2,,,,2,2,2,2.0,2.0,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,2,2,2,2,4,3,1,34,104,1052,15609
6646,6,1,2,3,3,1,2,2,1,1,2,2,1,2,1,2,1,2,1,1,2,2,3,2,1,1,1,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,1.0,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,3,2,2,2,2,2,4,3,2,32,104,1052,6420
6647,7,1,2,2,2,5,2,2,5,2,2,2,2,2,2,2,1,2,3,1,2,1,2,2,9,1,1,3,2,1,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,1,1,2.0,2.0,1.0,2,,,,1,1,2,2.0,1.0,2,1,2,2,1,1,2,1,2,2,1,1,2,1,9,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,4,3,2,57,104,1052,9630
6648,8,1,2,8,4,6,2,1,5,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,3,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,1,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,2,1,2,9.0,,2,1,2,1,1,1,2,1,1,2,1,1,9,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,3,3,2,2,2,2,4,3,2,24,104,1052,9630
6649,9,1,4,6,3,6,2,2,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,1,2.0,1.0,1.0,2,1,2,2.0,2.0,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,3,3,2,2,2,2,4,3,1,25,104,1052,15609
6650,10,1,1,3,3,5,2,1,1,2,2,2,1,2,2,2,1,2,2,1,3,2,3,2,1,1,2,1,1,3,3,1,1,1,1,2,1,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,2.0,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,9,9,9,3,2,2,2,2,2,4,3,1,38,104,1052,6244
6651,11,1,2,2,3,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,3,9,9,9,3,1,1,3,3,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,7,9,2,2,1,2.0,2.0,1.0,2,,,,2,2,2,2.0,2.0,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,9,9,9,2,2,2,2,2,4,3,2,46,104,1052,6420
6652,12,1,2,2,2,5,2,2,5,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,9,9,9,8,9,3,3,3,3,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,7,7,9,2,2,1,2.0,2.0,1.0,2,,,,1,2,2,2.0,2.0,2,1,2,2,1,2,2,2,2,2,2,2,9,9,2,2,2,2,2,2,2,2,2,1,2,9,9,9,9,2,2,2,2,2,4,3,2,54,104,1052,12840
6653,14,1,1,0,0,5,2,1,5,1,2,2,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,3,2,1,3,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,1,2,,,,2,,,,2,1,2,2.0,2.0,2,1,2,2,1,1,2,1,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,2,1,2,2,2,4,3,1,76,104,1052,9365
6654,15,1,2,2,6,6,2,2,5,1,2,2,2,2,2,2,2,2,1,1,2,3,2,3,1,2,2,8,2,1,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,2,,,,1,1,2,2.0,2.0,2,1,2,2,1,2,2,2,2,1,9,1,1,9,9,2,2,2,2,2,2,2,2,1,2,1,1,1,3,1,2,2,2,2,4,3,2,52,104,1052,9630
6655,16,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,1,1,1,3,3,1,1,1,1,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,2.0,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,3,1,2,2,1,2,4,3,1,30,104,1052,6244
6656,17,1,1,0,0,5,2,2,1,2,2,2,2,1,2,2,2,2,3,1,3,1,3,3,1,1,1,1,1,3,3,8,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,9,2,2,1,2.0,2.0,1.0,2,,,,2,2,2,2.0,2.0,2,1,2,2,1,1,2,2,2,2,9,9,9,9,9,2,2,2,2,2,2,2,2,1,1,9,9,9,9,2,1,1,2,2,4,3,1,54,104,1052,6244
6657,19,1,1,0,0,6,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,9,9,9,1,1,9,9,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,7,9,2,2,1,2.0,1.0,1.0,2,,,,2,2,2,2.0,2.0,2,1,2,2,1,2,2,2,2,2,9,9,9,9,9,2,2,2,2,2,2,2,2,1,2,9,9,9,9,1,2,2,2,2,4,3,1,66,104,1052,3122
6658,20,1,4,6,3,6,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,7,7,9,2,2,1,2.0,2.0,1.0,2,,,,2,2,2,2.0,2.0,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,9,9,9,2,2,2,2,2,4,3,1,26,104,1052,12487
6659,1,1,2,0,0,5,2,2,1,2,2,2,2,2,2,2,2,2,1,1,3,3,1,3,1,1,2,1,1,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,2,,,,2,,,,1,1,2,2.0,2.0,2,1,2,2,1,1,2,2,2,1,9,2,9,2,9,2,2,2,2,2,2,2,2,1,1,1,9,9,9,2,2,2,2,2,4,3,2,65,105,1053,19130
6660,2,1,3,2,6,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,3,1,1,2,3,3,1,1,3,1,1,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,2,2,2,2.0,2.0,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,9,3,1,2,1,2,2,4,3,1,32,105,1053,27906
6661,3,1,2,2,6,5,2,2,5,2,1,2,2,1,2,2,2,2,1,1,2,3,2,3,1,1,1,3,2,3,3,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,2.0,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,9,9,3,2,2,2,2,2,4,3,2,46,105,1053,28695
6661,3,2,1,8,5,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,3,1,2,2,1,2,1,3,3,1,1,2,2,2,2,2,1,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,4,1,1,2,1,2.0,2.0,1.0,1,2.0,1.0,1.0,1,1,2,2.0,2.0,1,2,1,1,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,3,3,2,2,1,2,2,4,3,1,26,105,1053,18604
6662,4,1,1,3,2,5,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,3,3,2,2,1,1,1,3,2,2,2,1,1,2,2,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,1,1,2.0,2.0,1.0,1,2.0,2.0,1.0,2,1,2,2.0,2.0,1,1,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,9,9,9,3,2,2,2,2,2,4,3,1,38,105,1053,27906
6663,5,1,1,2,6,5,2,2,8,2,2,2,2,1,2,2,2,2,1,1,1,3,1,2,1,2,2,3,1,1,1,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,2,,,,1,1,2,2.0,2.0,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,9,9,3,2,2,2,2,2,4,3,2,46,105,1053,19130
6664,6,1,3,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,3,3,3,1,1,1,1,1,3,3,2,1,2,1,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,2.0,2,2,2,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,3,3,1,2,2,2,2,4,3,1,25,105,1053,46510
6665,7,1,1,2,6,5,2,2,1,1,2,2,2,1,2,2,1,2,2,1,3,2,2,2,1,2,1,2,3,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,2.0,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,3,2,2,1,2,2,4,3,1,51,105,1053,27906
6666,8,1,1,2,6,5,2,2,1,1,2,2,1,1,2,1,2,2,3,1,3,1,2,3,1,1,1,1,2,1,3,3,3,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,1,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,2.0,1,1,1,2,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,3,2,1,2,2,2,4,3,1,52,105,1053,27906
6667,9,1,1,3,3,5,2,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,2,3,1,1,1,3,3,1,2,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,7,7,1,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,2.0,2,1,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,3,2,2,1,2,2,4,3,1,33,105,1053,18604
6668,10,1,1,2,6,2,2,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,3,3,1,1,1,1,3,1,3,3,3,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,2.0,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,9,3,3,2,2,2,2,2,4,3,2,39,105,1053,28695
6669,11,1,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,3,3,2,1,1,1,2,1,3,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2.0,2.0,1.0,2,,,,1,1,2,2.0,2.0,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,9,9,3,1,2,2,2,2,4,3,2,68,105,1053,9565
6669,11,2,1,3,1,5,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,2,2,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,2,2,2.0,2.0,2,2,2,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,3,1,1,1,2,2,4,3,1,30,105,1053,18604
6670,12,1,1,8,5,5,2,2,1,1,1,1,1,1,2,2,1,2,1,1,3,1,1,2,1,2,1,3,3,1,3,3,3,2,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,7,4,2,1,2,1,2.0,2.0,1.0,1,1.0,2.0,2.0,1,2,2,2.0,2.0,2,2,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,1,3,1,2,1,2,2,4,3,1,37,105,1053,18604
6671,13,1,1,8,5,5,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,3,2,1,1,2,2,2,1,1,2,4,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,4,4,2,1,2,2,,,,1,2.0,1.0,2.0,2,2,1,,,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,3,2,1,1,1,2,4,3,1,54,105,1053,46510
6672,14,1,2,6,3,1,2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,3,2,3,1,1,1,1,2,3,3,3,3,2,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,3,1,2,1,2,1,2.0,2.0,1.0,1,2.0,1.0,1.0,1,1,2,2.0,2.0,1,2,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,3,2,2,1,2,2,4,3,2,37,105,1053,19130
6673,15,1,1,3,3,5,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,1,3,2,1,9,1,1,2,3,1,2,2,1,1,2,1,5,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,1,2,1,2,1,2.0,1.0,2.0,1,2.0,2.0,1.0,1,2,1,,,2,2,2,1,1,2,2,1,1,1,1,1,1,1,9,2,2,2,2,1,2,2,2,2,1,9,2,1,2,2,1,1,1,2,4,3,1,40,105,1053,37208
6674,16,1,1,8,5,6,2,2,1,1,1,2,1,1,2,1,1,2,2,1,2,2,3,3,1,1,1,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,4,1,1,2,2,,,,1,2.0,1.0,2.0,1,2,2,2.0,2.0,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,3,1,1,1,2,2,4,3,2,40,105,1053,9565
6675,17,1,1,4,1,1,2,2,5,1,2,1,1,1,2,1,2,2,1,1,3,1,2,3,1,2,1,1,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,2,2,1,1.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,1.0,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,3,1,3,2,1,2,2,2,4,3,2,19,105,1053,19130
6676,18,1,2,8,2,1,2,2,5,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,3,1,2,2,2,2,1,2,1,3,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,7,7,2,2,1,1,2.0,2.0,1.0,1,2.0,2.0,1.0,1,1,2,2.0,2.0,1,1,1,1,1,2,2,1,1,1,1,9,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,3,2,2,2,2,2,4,3,2,23,105,1053,19130
6677,20,1,4,8,1,6,2,2,4,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,2,1,3,2,2,2,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,1,2,2,,,,1,2.0,1.0,1.0,2,1,9,2.0,9.0,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,3,2,2,2,2,4,3,1,18,105,1053,37208
