"FOLIO","VIV_SEL","HOGAR","N_REN","P3_1_1","P3_1_2","P3_2","P3_3","P3_4","P3_5","P3_11","P4_1","P4_2_1","P4_2_2","P4_2_3","P4_2_4","P4_2_5","P4_3","P4_5","P4_6_1","P4_6_2","P4_6_3","P4_6_4","P4_6_5","P4_6_6","P4_7_1","P4_7_2","P4_7_3","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_8_5","P4_8_6","P4_9_1","P4_9_2","P4_9_3","P4_9_4","P4_10","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P5_4_1","P5_4_2","P5_4_3","P5_4_4","P5_4_5","P5_4_6","P5_4_7","P5_4_8","P5_4_9","P5_23","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P6_2_1","P6_2_2","P6_2_3","P6_2_4","P6_2_5","P6_2_6","P6_2_7","P6_2_8","P6_2_9","P6_17","P7_1_1","P7_1_2","P7_2","P7_4","P7_5","P7_7_1","P7_8_1_1","P7_8_1_2","P7_8_1_3","P7_7_2","P7_8_2_1","P7_8_2_2","P7_8_2_3","P7_7_3","P7_7_4","P8_1","P8_2","P8_3","P9_1","P9_8_1","P9_8_2","P9_8_3","P9_8_4","P9_8_5","P9_8_6","P10_1","P10_4","P10_7","P11_1_1","P11_1_2","P11_1_3","P11_1_4","P11_1_5","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P11_3_1","P11_3_2","P11_3_3","P11_3_4","P11_3_9","P12_1","P13_1","P13_2","P13_3","P13_4","P14_1","P14_2_1","P14_2_2","P14_2_3","P14_2_4","TLOC","REGION","SEXO","EDAD","EST_DIS","UPM_DIS","FAC_ELE","P1_1","P1_2"
7900,3,1,3,2,6,6,2,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2,1,2,2,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,1,2,2,2,,,,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,2,1,2,2,2,2,1,2,2,40,131,1256,9012,4,1
7901,4,1,3,2,6,6,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,1,3,2,1,2,1,1,1,3,3,1,1,1,2,2,2,4,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,1,2,2,,,,1,2,1,2,2,2,1,,,1,2,1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,3,1,1,2,2,2,1,2,1,48,131,1256,10040,5,1
7902,5,1,2,8,4,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,3,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,9,1,9,2,2,2,2,2,2,2,2,1,2,1,2,3,3,2,2,2,2,2,1,2,2,25,131,1256,4506,2,1
7903,1,1,1,2,2,4,2,2,6,2,1,1,1,1,2,2,2,2,3,1,3,3,1,3,1,1,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,2,,,,1,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,9,2,9,9,2,2,2,2,2,2,2,2,2,1,1,1,2,3,3,1,1,2,2,2,1,2,2,64,131,1257,4774,5,1
7904,2,1,2,3,3,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,1,1,2,3,2,3,1,1,1,1,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,3,1,2,1,1,2,1,1,1,2,1,1,1,2,1,,,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,3,2,1,2,2,2,1,2,1,43,131,1257,10636,4,1
7905,3,1,4,8,3,6,2,2,1,1,1,2,1,2,2,2,2,2,1,1,2,1,3,1,2,1,2,3,2,2,3,2,2,1,1,2,1,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,7,7,2,2,2,1,2,1,2,1,2,1,2,1,1,1,,,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,3,1,3,2,2,2,2,1,2,1,22,131,1257,7977,4,1
7906,4,1,4,6,1,6,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,3,2,2,1,2,2,3,2,2,2,1,2,2,2,2,2,4,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,7,2,2,2,1,2,1,1,1,2,1,1,2,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,3,2,2,2,2,2,1,2,2,22,131,1257,9548,4,1
7907,2,1,1,8,5,6,2,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,3,2,1,2,1,1,2,1,1,1,1,1,1,2,2,9,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,3,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,30,131,1258,2261,1,1
7908,3,1,1,8,5,6,2,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,3,2,1,1,2,2,2,2,1,1,1,2,1,2,2,3,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,3,1,1,2,1,2,2,1,1,2,1,2,1,1,1,,,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,3,1,2,2,2,2,1,2,2,28,131,1258,4522,2,1
7909,4,1,1,3,3,5,2,2,1,1,1,1,1,1,2,1,1,2,3,1,1,3,1,1,1,2,1,1,3,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,7,7,1,1,2,1,2,2,1,1,2,1,1,1,1,1,,,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,3,2,2,1,2,2,1,2,1,42,131,1258,7555,4,1
7910,5,1,1,8,3,5,2,2,6,1,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,8,1,1,1,1,2,2,2,1,1,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,9,9,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,2,1,2,9,9,9,9,2,2,1,1,9,2,9,9,2,2,2,2,2,2,2,2,1,2,9,9,9,9,2,1,1,2,2,1,2,1,71,131,1258,5037,2,1
7911,1,1,2,3,3,5,2,2,5,1,2,2,1,2,2,2,1,2,1,1,2,3,3,3,1,1,2,1,1,3,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,3,3,2,1,2,2,2,1,2,2,51,130,1259,4424,2,1
7912,2,1,1,6,1,5,2,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,1,2,1,3,1,3,3,3,1,1,1,2,3,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,7,7,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,9,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,3,2,1,2,2,2,1,2,1,51,130,1259,4928,3,1
7913,3,1,4,6,3,6,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,1,1,2,2,1,2,2,2,2,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,1,2,1,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,3,3,2,2,2,2,2,1,2,1,25,130,1259,9857,4,1
7914,4,1,2,6,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2,2,1,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,7,7,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,28,130,1259,7393,3,1
7915,5,1,3,3,3,3,2,2,1,1,1,2,1,1,2,1,1,2,1,1,2,2,2,2,1,2,2,3,3,1,3,1,3,2,2,2,2,4,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,7,7,2,1,2,1,2,2,1,1,2,1,2,1,2,1,,,1,9,1,2,2,1,2,2,1,1,1,1,1,2,2,9,2,2,2,2,2,2,2,1,2,1,1,1,3,1,1,1,2,2,1,2,1,46,130,1259,7393,3,1
7916,1,1,1,3,3,5,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,2,1,2,1,2,1,2,1,,,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,3,1,2,1,1,2,2,1,2,1,53,132,1260,8206,5,1
7917,2,1,2,2,5,5,2,2,5,2,2,2,2,2,2,2,1,2,1,1,2,2,2,3,1,1,1,3,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,9,9,2,2,2,2,2,2,2,2,1,2,1,2,3,3,2,2,2,2,2,1,2,2,50,132,1260,7367,4,1
7918,3,1,1,6,2,5,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,2,1,1,2,1,2,2,5,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,1,,,1,2,1,2,2,1,2,1,1,1,1,2,9,1,1,2,2,2,2,2,2,2,2,1,1,1,1,9,9,3,1,1,2,2,1,2,1,46,132,1260,5471,4,1
7919,4,1,1,4,3,5,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,2,3,2,2,1,1,1,5,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,7,7,1,2,2,2,,,,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,2,3,2,1,2,2,2,1,2,2,51,132,1260,12278,5,1
7920,5,1,3,6,3,6,2,2,1,1,1,1,1,1,2,2,2,2,1,1,3,1,1,2,1,1,2,3,2,1,2,1,3,2,1,2,1,4,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,2,,,,1,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,3,1,2,2,2,2,1,2,1,22,132,1260,5471,3,1
7921,1,1,2,2,6,1,2,1,5,2,2,2,2,2,2,2,2,2,2,1,1,2,1,3,1,1,2,1,1,1,1,1,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,9,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,9,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,2,9,2,1,2,2,2,2,1,2,2,70,130,1261,6364,3,1
7922,2,1,1,6,1,6,2,2,1,1,1,2,1,2,2,2,2,2,2,1,3,1,2,2,1,1,2,1,2,1,3,3,3,1,1,1,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,2,1,2,2,,,,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,3,3,2,2,2,2,2,1,2,2,41,130,1261,4243,2,1
7923,3,1,2,3,2,5,2,2,5,1,2,2,1,2,1,2,2,2,2,3,1,2,1,3,1,1,1,1,1,3,3,3,3,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,7,9,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1,9,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,3,2,2,2,2,2,1,2,2,32,130,1261,4243,4,1
7924,4,1,4,2,6,5,2,2,5,1,2,1,1,1,2,2,1,2,1,2,2,1,1,3,1,1,1,1,1,2,3,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,3,3,3,2,2,2,2,2,1,2,2,43,130,1261,8485,6,1
7925,5,1,1,2,6,5,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,3,1,1,1,2,3,2,1,1,1,4,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,1,2,1,2,1,1,1,2,1,1,1,2,1,,,2,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,1,2,3,3,2,1,1,2,2,1,2,1,38,130,1261,7089,4,1
7926,1,1,1,6,3,4,2,2,1,1,1,1,1,1,2,2,2,2,1,2,3,1,2,3,1,1,2,3,3,1,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,1,1,2,9,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,3,3,1,2,1,2,2,1,2,2,37,130,1262,2254,4,1
7927,2,1,2,3,3,1,1,2,5,2,1,1,1,1,2,2,2,2,1,1,1,1,3,2,1,1,2,1,3,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,2,2,2,2,2,1,2,2,31,130,1262,4508,4,1
7928,3,1,2,0,0,5,2,2,5,2,1,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,3,3,1,1,3,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,9,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,3,1,3,3,2,2,2,2,1,2,2,65,130,1262,9015,6,1
7929,4,1,3,6,3,6,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,3,2,3,1,1,1,3,2,1,3,3,3,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,9,9,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,3,2,2,2,2,2,1,2,2,29,130,1262,9015,4,1
7930,5,1,1,0,0,1,2,2,6,2,1,2,1,1,2,2,2,2,1,1,1,2,2,3,1,1,1,3,3,1,3,3,3,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,3,1,3,1,1,1,2,2,1,2,1,64,130,1262,7532,3,1
7931,1,1,1,3,3,5,2,2,1,1,2,2,1,1,2,1,1,2,1,1,2,1,3,3,1,1,2,1,1,1,2,2,2,1,2,2,1,4,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,9,2,9,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,37,132,1263,6648,2,1
7932,2,1,2,8,4,5,2,2,5,1,2,2,2,2,2,2,1,2,2,2,2,3,1,2,1,1,2,2,2,3,3,2,1,1,2,2,2,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,7,7,1,1,2,1,2,2,1,1,2,2,1,2,1,1,,,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,3,3,3,2,1,2,2,2,1,2,2,34,132,1263,6648,6,1
7933,3,1,2,2,6,5,2,2,5,1,2,2,2,2,2,2,1,2,1,1,3,1,3,2,1,2,2,1,3,3,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,2,2,2,2,2,1,2,2,47,132,1263,6648,2,1
7934,4,1,1,8,5,5,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,1,3,2,1,1,1,1,3,1,3,1,1,1,1,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,3,3,1,2,2,1,2,1,1,1,2,1,1,1,2,1,,,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,9,2,2,2,1,2,2,2,2,2,1,1,2,3,2,2,1,2,2,1,2,1,36,132,1263,11109,4,1
7935,5,1,1,8,3,6,2,2,1,1,1,1,1,1,2,1,1,1,1,2,3,2,2,2,1,1,1,2,3,1,1,2,3,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,7,7,1,1,2,1,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,3,1,1,2,2,2,1,2,1,31,132,1263,3703,1,1
7936,1,1,1,3,3,2,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,3,1,1,1,1,3,1,3,3,3,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,7,2,1,2,2,,,,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,1,1,2,9,9,1,2,2,2,2,2,2,2,2,1,2,1,9,3,1,1,1,2,2,2,2,2,2,39,127,1264,4583,2,1
7937,2,1,1,3,3,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,3,1,1,1,1,3,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,1,1,1,2,1,1,1,1,1,,,1,1,1,1,1,1,2,2,1,1,1,2,1,1,9,2,2,2,2,2,2,2,2,1,1,1,2,2,3,1,2,2,2,2,2,2,2,42,127,1264,9165,2,1
7938,3,1,1,3,3,5,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,3,2,1,2,1,1,3,2,1,3,2,2,2,2,5,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,2,2,2,1,2,1,2,1,2,2,1,1,1,1,,,1,1,1,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,3,3,1,2,2,2,2,2,1,45,127,1264,15314,4,1
7939,4,1,2,3,3,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,3,2,1,1,1,2,2,1,2,2,2,2,1,2,2,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,9,1,1,1,2,2,2,1,1,9,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,3,3,2,2,2,2,2,2,2,2,28,127,1264,9165,3,1
7940,5,1,2,2,5,5,2,2,8,2,2,2,2,2,2,2,1,2,1,1,2,1,3,1,1,2,1,2,2,1,1,1,1,2,1,2,1,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,9,9,2,2,2,2,1,2,2,2,2,2,1,9,9,3,2,1,2,2,2,2,2,2,65,127,1264,9165,2,1
7941,6,1,2,3,1,1,2,2,5,1,1,2,2,1,2,2,1,2,1,1,2,1,3,2,1,1,1,2,2,2,1,1,1,2,2,2,1,5,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,7,7,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,9,9,9,9,2,2,2,2,2,2,2,2,36,127,1264,9165,4,1
7942,7,1,1,6,2,5,2,2,1,1,2,2,1,1,2,1,1,2,1,1,3,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,5,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,1,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,1,37,127,1264,10210,5,1
7943,8,1,2,3,3,1,2,2,5,2,2,2,1,1,2,2,1,2,2,1,2,1,2,2,1,1,2,1,2,2,3,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,36,127,1264,9165,2,1
7944,10,1,2,6,2,5,2,2,5,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,3,1,3,1,1,1,2,1,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,7,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,39,127,1264,13748,8,1
7945,11,1,1,3,1,4,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,3,3,3,1,1,1,3,1,2,3,1,1,1,2,2,2,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,3,3,2,1,2,2,2,2,2,2,40,127,1264,13748,3,1
7946,12,1,2,2,6,1,2,2,5,1,1,1,1,1,2,2,1,2,1,1,3,1,2,3,1,1,1,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,7,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,9,9,2,2,2,2,2,2,2,2,1,1,1,3,3,3,2,2,2,2,2,2,2,2,39,127,1264,9165,5,1
7947,14,1,2,3,3,1,2,2,5,1,1,2,2,2,2,2,1,2,2,1,3,2,3,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,7,7,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,9,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,3,2,1,2,2,2,2,2,2,54,127,1264,13748,6,1
7948,15,1,1,3,3,5,2,2,6,2,2,2,1,2,2,1,2,2,2,1,3,3,2,3,1,1,2,1,3,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,7,7,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,1,56,127,1264,15314,4,1
