"UPM","VIV_SEL","HOGAR","N_REN","EDAD","SEXO","REGION","TLOC","EST_DIS","UPM_DIS","FAC_PER","GRA","NIV","P3_1","P3_12","P3_2","P3_3","P3_5","P4_1","P4_4_1","P4_4_2","P4_4_3","P4_4_4","P4_4_5","P4_4_6","P4_4_7","P4_5","P4_7","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_9_1","P4_9_2","P4_9_3","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P5_29","P5_3","P5_4","P6_18","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P6_3","P10_1","P10_13","P10_8","P11_1_1","P11_1_2","P11_1_3","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P11_2_9","P12_1","P12_2","P12_3","P12_4","P13_1","P13_2_1","P13_2_2","P13_2_3","P13_2_4","P7_1_1","P7_1_2","P7_1_3","P7_1_4","P7_1_5","P7_1_6","P7_1_7","P8_1","P9_1","P9_9_1","P9_9_2","P9_9_3","P9_9_4","P9_9_5","P1_1","P1_2"
"1300965","5","1","2","54","2","5","1","71","829","6337","5","8","2","1","5","2","5","1","2","2","2","1","2","2","2","1","1","1","1","2","2","1","1","1","2","1","2","2","1","2","2","1","1","3","2","2","2","2","2","2","1","1","2","1","1","2","0","0","0","1","0","1","2","1","3","1","2","1","1","2","1","2","9","9","2","2","1","1","1","1","1","2","2","2","3","1"
"1300994","2","1","1","68","2","5","1","70","830","2163","0","0","1","1","2","0","1","2","2","2","1","1","2","2","2","1","2","1","2","1","3","1","2","9","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","1","2","2","2","2","2","0","0","0","0","1","1","9","9","9","1","1","2","2","2","1","1","9","1","9","9","1","2","2","9","2","1","1","2","1","1"
"1300994","3","1","2","28","2","5","1","70","830","5423","2","8","2","1","1","2","1","1","1","1","1","1","2","1","2","1","2","2","1","3","2","1","1","1","2","2","1","2","2","2","2","2","1","2","1","2","2","2","2","2","1","2","1","2","2","2","1","0","0","0","0","1","2","9","3","2","2","1","2","2","1","1","1","1","1","1","1","1","1","2","1","2","1","2","4","1"
"1300994","4","1","1","65","2","5","1","70","830","4327","3","3","1","1","6","0","5","1","1","2","1","1","2","1","2","1","2","1","1","1","1","1","1","1","2","2","2","2","2","1","2","1","2","3","2","2","2","2","2","1","1","2","2","2","2","2","0","0","0","0","1","1","2","2","3","2","2","2","2","2","1","9","9","9","1","1","1","2","2","1","2","2","2","2","2","1"
"1300994","5","1","3","41","2","5","1","70","830","2392","3","4","3","1","6","0","5","2","1","2","1","1","2","1","2","2","2","1","1","2","2","1","1","1","2","2","2","2","2","1","2","1","2","3","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","1","1","1","1","3","2","2","2","2","2","1","1","9","9","1","1","1","2","2","1","2","2","2","2","3","1"
"1301057","2","1","1","65","2","5","1","70","831","1418","2","8","1","1","5","1","6","1","2","2","1","1","2","2","2","2","1","1","1","2","2","1","2","2","2","2","2","2","2","1","1","1","1","1","2","1","2","2","2","1","1","1","1","2","2","1","0","1","0","0","0","1","2","1","3","2","1","1","2","2","1","1","9","1","1","1","1","2","2","2","1","2","1","2","2","1"
"1301057","4","1","1","45","1","5","1","70","831","2821","3","3","1","1","1","3","1","1","2","1","1","1","1","1","2","1","2","2","1","2","2","1","1","2","2","2","1","1","1","1","1","2","1","2","2","2","2","2","2","1","2","1","1","1","1","2","1","0","0","0","0","1","2","1","3","2","2","2","2","2","1","2","1","1","1","1","1","1","1","2","2","1","1","2","4","1"
"1301057","5","1","1","37","1","5","1","70","831","3707","6","2","1","1","5","6","1","2","2","1","1","2","2","2","2","1","2","1","2","2","2","1","1","1","2","2","2","2","2","2","2","2","2","3","2","2","1","2","2","2","2","2","2","2","2","2","1","0","0","0","0","1","1","1","3","2","2","1","1","2","1","1","1","1","1","1","1","2","2","1","2","1","1","2","6","1"
"1301145","1","1","1","58","1","5","2","67","832","4713","3","3","1","1","5","1","7","2","2","2","2","1","2","2","2","2","2","2","1","3","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","0","0","0","0","1","2","2","3","2","2","2","2","2","1","1","9","1","1","1","1","2","2","2","2","2","1","2","2","1"
"1301145","2","1","1","28","1","5","2","67","832","3342","3","8","1","1","6","0","1","2","1","2","1","1","2","2","2","1","2","1","2","2","2","1","1","1","2","2","1","1","1","1","2","1","2","2","2","2","2","1","2","1","1","2","2","2","2","2","0","0","0","1","0","1","2","1","3","1","2","2","2","2","1","1","9","9","1","1","1","1","2","2","2","2","1","2","1","1"
"1301145","4","1","1","23","1","5","2","67","832","3342","3","6","1","1","5","2","1","2","1","2","1","1","2","1","2","2","2","2","1","2","1","1","1","1","2","2","2","1","2","1","2","2","2","3","2","1","2","2","2","2","1","1","1","2","2","2","0","0","0","1","0","1","2","2","3","1","2","2","2","2","1","1","9","9","1","1","1","2","1","2","1","9","9","2","1","1"
"1301145","5","1","4","29","2","5","2","67","832","6909","3","7","2","1","5","0","5","1","2","2","1","1","2","2","2","2","2","1","1","3","2","1","1","2","2","2","2","2","1","1","2","1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","0","0","0","0","1","2","1","9","2","1","2","2","2","1","1","9","1","1","1","1","1","2","2","2","1","2","2","4","1"
"1301145","6","1","1","58","1","5","2","67","832","2357","0","0","1","1","2","4","1","2","2","1","2","1","2","1","2","2","2","3","1","1","3","1","2","2","2","2","2","2","2","2","2","1","2","3","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","1","0","1","1","9","3","1","1","2","2","2","1","1","9","1","1","1","1","2","1","2","2","2","1","2","1","1"
"1301145","7","1","1","61","1","5","2","67","832","5478","3","3","1","1","5","2","1","2","2","2","2","2","1","2","2","2","2","3","1","2","3","1","1","1","2","2","2","2","2","2","1","2","1","3","2","2","2","2","2","2","1","1","1","2","2","2","0","1","0","0","0","1","3","1","3","2","1","1","1","2","1","1","9","1","1","1","1","2","2","2","1","2","2","2","2","1"
"1301145","8","1","2","22","2","5","2","67","832","6909","3","6","2","1","1","0","5","2","2","2","1","1","2","1","2","2","2","1","1","2","2","1","1","9","1","2","2","1","2","2","1","2","2","1","2","2","2","1","2","1","1","1","2","2","2","2","0","0","0","0","1","1","3","3","9","1","2","2","2","2","1","1","9","9","1","9","1","2","2","1","1","2","1","2","3","1"
"1301145","9","1","1","40","1","5","2","67","832","5482","3","7","1","1","1","1","1","2","1","2","2","2","2","2","2","1","2","1","1","1","3","1","1","1","2","2","2","2","2","1","1","2","1","3","2","2","2","2","2","2","1","2","1","2","2","2","0","0","0","1","0","1","1","2","2","2","2","2","2","2","1","1","9","1","1","1","1","1","1","1","1","2","2","2","3","1"
"1301145","10","1","2","34","2","5","2","67","832","5644","5","8","2","1","1","0","1","1","1","2","2","1","2","1","2","1","1","1","1","2","2","1","1","1","2","2","2","2","2","1","2","2","2","1","2","2","2","2","2","2","1","1","1","2","2","2","0","1","0","0","0","1","2","2","3","2","2","2","2","2","1","1","1","1","1","1","1","2","2","2","1","2","1","2","2","1"
"1301145","12","1","3","70","2","5","2","67","832","2756","5","8","1","1","4","0","5","2","1","2","2","2","2","2","2","1","1","1","1","3","1","1","1","1","2","2","2","2","1","2","1","1","2","2","2","2","2","2","2","1","1","2","1","2","2","2","0","1","0","0","0","1","2","2","3","1","2","2","1","2","1","1","9","1","1","2","9","2","2","2","2","1","1","2","1","1"
"1301145","13","1","2","62","2","5","2","67","832","5512","3","6","2","1","5","0","5","2","2","2","2","2","2","1","2","2","2","1","2","3","3","1","2","2","2","2","2","2","2","2","1","2","2","3","2","2","2","2","2","2","1","2","1","2","2","2","0","0","1","0","0","1","2","1","3","3","2","2","2","2","1","1","9","9","1","1","1","1","2","1","2","2","1","2","2","1"
